CustomerID,TotalTransactions,TotalQuantity,TotalRevenue,UniqueProducts,ActiveDays,FirstPurchase,LastPurchase,CustomerLifetimeDays,Cluster,Segment
12456,4,1616,3153.89,105,4,2011-03-30 09:12:00,2011-10-26 14:41:00,210,2,Segment 2
12457,12,695,1917.78,53,9,2011-04-14 18:57:00,2011-10-12 13:46:00,180,2,Segment 2
12458,2,506,947.4,35,2,2011-02-28 10:55:00,2011-09-29 15:25:00,213,2,Segment 2
12461,2,287,826.88,35,2,2011-07-08 10:23:00,2011-09-06 16:57:00,60,2,Segment 2
12462,4,514,1124.01,51,4,2011-02-09 14:44:00,2011-12-07 14:02:00,300,2,Segment 2
12463,7,757,1303.63,66,6,2011-04-12 12:47:00,2011-10-24 13:43:00,195,2,Segment 2
12464,8,112,1212.05,6,7,2011-02-03 13:30:00,2011-11-29 13:33:00,299,0,Segment 0
12465,3,475,733.89,46,3,2011-06-23 13:37:00,2011-12-02 11:34:00,161,2,Segment 2
12468,3,364,724.0400000000001,36,3,2011-01-27 13:29:00,2011-07-19 13:42:00,173,2,Segment 2
12471,49,7953,18705.52,152,39,2010-12-02 10:37:00,2011-12-07 15:43:00,370,2,Segment 2
12472,13,4020,6229.48,226,13,2010-12-01 14:33:00,2011-11-09 11:33:00,342,2,Segment 2
12473,9,2338,2837.73,140,5,2011-06-01 10:15:00,2011-11-10 13:48:00,162,2,Segment 2
12474,30,4750,7064.77,253,26,2010-12-06 12:00:00,2011-11-22 14:39:00,351,2,Segment 2
12475,1,535,723.38,36,1,2011-10-17 10:10:00,2011-10-17 10:10:00,0,2,Segment 2
12476,20,2337,6546.58,177,14,2010-12-13 14:37:00,2011-12-08 14:08:00,359,2,Segment 2
12477,9,3620,13117.01,192,9,2011-02-01 11:09:00,2011-11-17 09:51:00,288,2,Segment 2
12478,1,236,680.99,36,1,2011-12-06 09:56:00,2011-12-06 09:56:00,0,2,Segment 2
12479,3,351,477.3,31,3,2011-11-28 13:26:00,2011-12-06 09:25:00,7,0,Segment 0
12480,4,1707,3281.63,129,4,2011-01-07 15:27:00,2011-11-11 14:52:00,307,2,Segment 2
12481,11,3280,5574.36,150,9,2010-12-09 10:13:00,2011-11-17 08:29:00,342,2,Segment 2
12483,13,1097,2327.13,46,11,2011-01-04 14:20:00,2011-11-22 17:03:00,322,2,Segment 2
12484,8,2181,4480.87,256,8,2011-01-07 14:04:00,2011-11-07 11:37:00,303,2,Segment 2
12488,3,529,1298.66,46,3,2011-09-25 10:34:00,2011-11-30 08:50:00,65,2,Segment 2
12489,1,105,334.93,15,1,2011-01-07 13:13:00,2011-01-07 13:13:00,0,0,Segment 0
12490,10,3064,5417.93,131,10,2011-01-14 09:13:00,2011-12-04 16:07:00,324,2,Segment 2
12491,1,260,460.4,25,1,2011-11-01 12:18:00,2011-11-01 12:18:00,0,0,Segment 0
12492,2,192,263.21000000000004,19,2,2011-08-26 14:51:00,2011-10-07 15:15:00,42,0,Segment 0
12493,3,206,416.79,20,3,2011-05-26 14:53:00,2011-06-27 10:17:00,31,0,Segment 0
12494,13,690,1139.35,63,11,2010-12-09 11:31:00,2011-11-30 09:21:00,355,2,Segment 2
12497,1,1236,1043.1,14,1,2011-09-19 12:29:00,2011-09-19 12:29:00,0,0,Segment 0
12498,3,159,403.7000000000001,21,2,2011-10-13 09:30:00,2011-11-18 12:53:00,36,0,Segment 0
12500,13,2671,4206.27,34,11,2011-01-10 09:48:00,2011-11-16 16:20:00,310,2,Segment 2
12501,2,1722,2089.68,149,2,2011-01-07 12:28:00,2011-01-28 13:54:00,21,2,Segment 2
12502,5,820,3723.87,102,5,2011-02-03 10:41:00,2011-09-05 11:52:00,214,2,Segment 2
12503,1,-1,-1126.0,1,1,2011-01-06 11:51:00,2011-01-06 11:51:00,0,0,Segment 0
12504,4,51,114.0,6,3,2011-11-09 14:56:00,2011-11-21 16:02:00,12,0,Segment 0
12505,1,-1,-4.5,1,1,2011-02-11 13:39:00,2011-02-11 13:39:00,0,0,Segment 0
12506,1,23,73.5,23,1,2011-04-21 08:54:00,2011-04-21 08:54:00,0,0,Segment 0
12507,4,894,1258.06,19,3,2011-02-14 09:24:00,2011-07-28 17:09:00,164,0,Segment 0
12508,2,271,397.88,57,2,2011-11-10 16:27:00,2011-11-13 15:37:00,2,2,Segment 2
12509,1,55,176.5,7,1,2011-02-28 14:45:00,2011-02-28 14:45:00,0,0,Segment 0
12510,2,353,982.57,29,2,2011-01-18 14:04:00,2011-07-20 10:15:00,182,0,Segment 0
12512,2,96,132.18,31,1,2011-10-04 14:53:00,2011-10-04 14:55:00,0,0,Segment 0
12513,2,456,586.79,35,2,2011-08-19 10:51:00,2011-09-16 12:45:00,28,2,Segment 2
12514,1,440,1017.68,51,1,2011-03-17 16:38:00,2011-03-17 16:38:00,0,2,Segment 2
12515,1,131,383.7,16,1,2010-12-21 15:43:00,2010-12-21 15:43:00,0,0,Segment 0
12516,2,875,1312.06,20,2,2011-06-12 11:37:00,2011-09-23 09:13:00,102,0,Segment 0
12517,6,1338,2443.65,232,4,2011-06-02 15:13:00,2011-11-11 14:04:00,161,2,Segment 2
12518,5,1318,2056.89,84,5,2011-08-21 13:18:00,2011-12-09 10:13:00,109,2,Segment 2
12519,1,175,330.84,17,1,2011-10-07 09:26:00,2011-10-07 09:26:00,0,0,Segment 0
12520,6,1430,2582.51,121,6,2011-03-11 11:35:00,2011-09-21 15:23:00,194,2,Segment 2
12521,1,309,599.68,38,1,2011-07-20 10:51:00,2011-07-20 10:51:00,0,2,Segment 2
12522,2,194,192.72,11,2,2011-10-19 14:41:00,2011-10-31 15:30:00,12,0,Segment 0
12523,13,861,1745.57,84,13,2011-01-12 09:43:00,2011-12-08 11:46:00,330,2,Segment 2
12524,8,3699,4485.72,113,8,2011-01-10 10:35:00,2011-11-30 15:31:00,324,2,Segment 2
12526,3,632,1316.66,64,3,2011-09-06 14:19:00,2011-12-09 12:09:00,93,2,Segment 2
12527,3,234,348.71000000000004,18,3,2011-01-18 12:05:00,2011-09-19 11:55:00,243,0,Segment 0
12528,8,750,1922.28,50,8,2011-01-31 09:05:00,2011-11-30 14:40:00,303,2,Segment 2
12530,5,900,1623.63,51,5,2011-01-07 10:04:00,2011-10-11 12:34:00,277,2,Segment 2
12531,1,45,125.22,17,1,2011-11-25 11:12:00,2011-11-25 11:12:00,0,0,Segment 0
12532,1,153,349.83000000000004,16,1,2011-11-09 13:47:00,2011-11-09 13:47:00,0,0,Segment 0
12534,1,651,1089.18,63,1,2011-08-01 10:26:00,2011-08-01 10:26:00,0,2,Segment 2
12535,2,219,716.35,28,2,2011-06-06 12:47:00,2011-09-09 08:48:00,94,0,Segment 0
12536,5,2652,4106.82,260,3,2011-10-11 14:52:00,2011-12-02 12:43:00,51,2,Segment 2
12538,1,191,363.95,21,1,2011-11-10 17:16:00,2011-11-10 17:16:00,0,0,Segment 0
12539,5,2066,3852.5,158,4,2011-01-10 09:11:00,2011-11-17 13:30:00,311,2,Segment 2
12540,19,6677,13309.04,278,19,2010-12-13 09:39:00,2011-11-20 11:31:00,342,2,Segment 2
12541,3,680,981.18,46,3,2011-03-04 09:32:00,2011-11-10 10:40:00,251,2,Segment 2
12544,2,132,355.7,19,2,2011-11-03 16:15:00,2011-11-10 11:12:00,6,0,Segment 0
12545,2,523,1000.39,42,2,2011-03-25 12:04:00,2011-09-25 13:39:00,184,2,Segment 2
12546,3,617,1141.5,59,3,2011-09-23 09:44:00,2011-10-24 12:09:00,31,2,Segment 2
12547,2,134,207.8,7,2,2011-03-04 12:46:00,2011-05-26 12:38:00,82,0,Segment 0
12548,1,49,95.2,5,1,2011-06-26 15:35:00,2011-06-26 15:35:00,0,0,Segment 0
12550,1,569,964.83,57,1,2011-09-21 14:35:00,2011-09-21 14:35:00,0,2,Segment 2
12551,1,100,168.0,10,1,2010-12-17 11:23:00,2010-12-17 11:23:00,0,0,Segment 0
12552,2,88,437.82,20,2,2011-10-31 12:11:00,2011-11-01 10:02:00,0,0,Segment 0
12553,14,1924,3652.25,95,13,2011-01-14 10:42:00,2011-12-01 16:38:00,321,2,Segment 2
12556,2,355,599.56,100,2,2011-07-11 13:35:00,2011-10-20 13:06:00,100,2,Segment 2
12557,5,4384,11990.96,15,5,2010-12-03 12:20:00,2011-11-23 16:59:00,355,0,Segment 0
12558,2,0,1.0658141036401504e-14,11,2,2011-12-02 10:41:00,2011-12-08 10:14:00,5,0,Segment 0
12559,3,281,536.21,21,2,2011-01-24 10:12:00,2011-02-02 09:49:00,8,0,Segment 0
12560,4,1078,2101.39,92,4,2011-07-19 15:55:00,2011-12-04 13:54:00,137,2,Segment 2
12561,1,177,238.85,16,1,2011-02-10 11:39:00,2011-02-10 11:39:00,0,0,Segment 0
12562,7,1779,3781.74,99,7,2011-05-25 12:44:00,2011-12-01 17:20:00,190,2,Segment 2
12564,1,133,456.9,21,1,2011-03-23 14:55:00,2011-03-23 14:55:00,0,0,Segment 0
12565,2,75,131.17,9,2,2011-02-24 10:34:00,2011-03-03 11:43:00,7,0,Segment 0
12566,2,264,346.7,19,2,2011-09-14 14:30:00,2011-09-28 09:57:00,13,0,Segment 0
12567,11,4089,9114.94,323,9,2010-12-05 11:57:00,2011-11-17 11:02:00,346,2,Segment 2
12569,35,1793,4064.99,92,27,2011-04-01 13:47:00,2011-12-07 16:24:00,250,2,Segment 2
12571,2,523,519.61,31,2,2011-08-10 12:35:00,2011-10-31 10:19:00,81,0,Segment 0
12572,3,450,1004.72,53,3,2011-10-19 08:20:00,2011-12-01 09:20:00,43,2,Segment 2
12573,1,84,160.54000000000002,26,1,2011-04-26 15:52:00,2011-04-26 15:52:00,0,0,Segment 0
12574,1,61,218.45,11,1,2011-01-28 09:20:00,2011-01-28 09:20:00,0,0,Segment 0
12576,6,964,1306.98,72,6,2011-02-08 11:31:00,2011-11-04 10:11:00,268,2,Segment 2
12577,4,463,564.2,137,2,2010-12-15 16:21:00,2011-11-04 13:28:00,323,2,Segment 2
12578,4,1171,2753.36,112,4,2011-01-05 10:46:00,2011-11-18 13:30:00,317,2,Segment 2
12579,3,278,410.72,29,2,2011-09-22 17:15:00,2011-09-27 13:57:00,4,0,Segment 0
12580,1,238,415.7,24,1,2011-04-07 10:24:00,2011-04-07 10:24:00,0,0,Segment 0
12581,1,161,197.71,15,1,2011-10-31 08:56:00,2011-10-31 08:56:00,0,0,Segment 0
12582,2,300,511.36,21,2,2011-02-24 11:42:00,2011-04-15 08:45:00,49,0,Segment 0
12583,18,5009,7187.34,115,18,2010-12-01 08:45:00,2011-12-07 08:07:00,370,2,Segment 2
12584,18,354,1893.95,44,15,2011-03-04 15:15:00,2011-12-06 09:35:00,276,2,Segment 2
12585,4,1258,1982.81,77,4,2010-12-23 12:58:00,2011-04-19 13:39:00,117,2,Segment 2
12586,2,77,179.94000000000003,12,2,2010-12-06 09:31:00,2011-11-22 16:24:00,351,0,Segment 0
12587,1,51,144.0,4,1,2011-12-02 12:47:00,2011-12-02 12:47:00,0,0,Segment 0
12588,1,53,214.9,10,1,2011-10-31 15:01:00,2011-10-31 15:01:00,0,0,Segment 0
12589,2,306,646.68,29,2,2011-07-18 12:05:00,2011-11-11 10:19:00,115,0,Segment 0
12590,3,4279,9861.38,68,2,2011-05-12 14:46:00,2011-06-02 14:25:00,20,2,Segment 2
12591,1,228,452.85,26,1,2011-01-26 14:35:00,2011-01-26 14:35:00,0,0,Segment 0
12592,2,290,437.6,11,2,2011-05-10 13:44:00,2011-09-08 15:04:00,121,0,Segment 0
12593,3,206,418.1,14,3,2011-05-05 09:29:00,2011-08-23 12:43:00,110,0,Segment 0
12594,11,1776,3320.2200000000003,50,9,2011-01-21 09:52:00,2011-11-02 12:20:00,285,2,Segment 2
12596,2,474,618.27,25,2,2011-04-11 13:22:00,2011-10-19 13:02:00,190,0,Segment 0
12597,5,2187,3683.13,184,5,2011-03-16 14:00:00,2011-11-20 13:33:00,248,2,Segment 2
12598,9,1940,3002.68,84,8,2011-02-28 11:58:00,2011-11-30 12:18:00,275,2,Segment 2
12599,7,956,1032.58,32,7,2011-02-08 13:28:00,2011-11-10 13:34:00,275,2,Segment 2
12600,11,773,2581.04,32,11,2010-12-03 12:57:00,2011-11-11 10:29:00,342,2,Segment 2
12601,6,244,569.5600000000001,21,6,2011-01-11 10:38:00,2011-06-03 10:17:00,142,0,Segment 0
12602,1,162,153.12,12,1,2011-10-12 11:22:00,2011-10-12 11:22:00,0,0,Segment 0
12603,1,64,739.1999999999999,3,1,2011-11-18 10:42:00,2011-11-18 10:42:00,0,0,Segment 0
12604,2,201,254.18,15,2,2011-03-23 12:06:00,2011-09-21 14:08:00,182,0,Segment 0
12605,1,-4,-7.5,3,1,2010-12-09 15:41:00,2010-12-09 15:41:00,0,0,Segment 0
12607,2,0,3.552713678800501e-15,101,2,2011-10-10 16:06:00,2011-10-12 16:17:00,2,2,Segment 2
12609,3,648,1126.85,57,3,2011-01-25 15:13:00,2011-09-22 16:34:00,240,2,Segment 2
12610,7,1028,2057.99,85,7,2011-08-05 13:52:00,2011-11-17 09:34:00,103,2,Segment 2
12611,1,846,1193.32,65,1,2011-10-18 13:12:00,2011-10-18 13:12:00,0,2,Segment 2
12612,2,251,643.59,19,2,2011-09-26 15:35:00,2011-10-13 12:12:00,16,0,Segment 0
12613,6,1596,3218.98,124,4,2011-03-22 15:42:00,2011-11-08 13:30:00,230,2,Segment 2
12614,1,76,315.6,20,1,2011-03-07 10:22:00,2011-03-07 10:22:00,0,0,Segment 0
12615,4,1376,2291.19,82,4,2011-06-24 13:35:00,2011-12-07 15:02:00,166,2,Segment 2
12616,5,273,657.25,25,5,2011-02-15 14:17:00,2011-09-15 17:02:00,212,0,Segment 0
12617,1,210,352.98,39,1,2011-11-10 14:39:00,2011-11-10 14:39:00,0,2,Segment 2
12618,1,96,177.31,11,1,2011-11-18 11:10:00,2011-11-18 11:10:00,0,0,Segment 0
12619,13,3354,3214.81,50,12,2011-03-31 13:10:00,2011-11-23 14:52:00,237,2,Segment 2
12620,3,1181,1339.41,89,3,2011-05-19 12:10:00,2011-11-25 10:20:00,189,2,Segment 2
12621,23,7404,13612.07,261,20,2010-12-09 10:16:00,2011-12-08 11:25:00,364,2,Segment 2
12622,1,69,180.1,11,1,2011-04-21 16:39:00,2011-04-21 16:39:00,0,0,Segment 0
12623,1,191,305.1,18,1,2011-03-08 13:50:00,2011-03-08 13:50:00,0,0,Segment 0
12624,2,355,641.13,36,2,2011-06-15 12:34:00,2011-08-25 15:04:00,71,2,Segment 2
12625,3,1577,2614.32,74,3,2011-01-24 13:27:00,2011-05-12 09:54:00,107,2,Segment 2
12626,13,3350,6388.35,232,13,2011-01-17 11:01:00,2011-11-16 16:06:00,303,2,Segment 2
12627,7,2752,4478.53,162,7,2011-07-22 13:59:00,2011-11-29 12:07:00,129,2,Segment 2
12628,4,445,769.61,34,4,2011-10-06 09:28:00,2011-12-05 13:15:00,60,2,Segment 2
12630,2,548,1270.88,60,2,2011-10-27 10:41:00,2011-11-30 10:48:00,34,2,Segment 2
12631,1,236,640.5,31,1,2011-10-13 13:53:00,2011-10-13 13:53:00,0,0,Segment 0
12633,5,1149,2140.63,73,5,2011-02-25 08:44:00,2011-10-12 11:40:00,229,2,Segment 2
12635,2,1172,1689.18,96,2,2011-07-08 08:43:00,2011-09-11 11:04:00,65,2,Segment 2
12637,10,2982,5934.25,205,8,2011-01-20 10:47:00,2011-10-03 13:46:00,256,2,Segment 2
12638,1,577,671.69,39,1,2011-11-06 13:11:00,2011-11-06 13:11:00,0,2,Segment 2
12639,1,201,486.1,22,1,2011-04-15 12:48:00,2011-04-15 12:48:00,0,0,Segment 0
12640,3,311,1174.58,47,3,2011-09-19 12:01:00,2011-11-16 11:52:00,57,2,Segment 2
12641,1,72,185.9,10,1,2011-08-16 13:26:00,2011-08-16 13:26:00,0,0,Segment 0
12642,3,552,1013.26,39,3,2011-08-24 09:23:00,2011-11-14 15:03:00,82,2,Segment 2
12643,6,1808,3344.64,11,5,2011-01-11 11:48:00,2011-08-03 12:56:00,204,0,Segment 0
12644,1,325,477.91,31,1,2011-08-02 10:33:00,2011-08-02 10:33:00,0,0,Segment 0
12645,5,1072,1755.38,58,5,2011-01-27 13:08:00,2011-11-06 12:38:00,282,2,Segment 2
12646,2,897,1346.97,43,2,2011-10-21 12:52:00,2011-12-05 10:14:00,44,2,Segment 2
12647,13,1420,3669.92,79,12,2010-12-05 14:02:00,2011-11-17 12:56:00,346,2,Segment 2
12648,1,160,318.05,21,1,2011-07-08 11:55:00,2011-07-08 11:55:00,0,0,Segment 0
12649,4,574,603.71,30,3,2010-12-09 14:42:00,2011-08-24 14:41:00,257,0,Segment 0
12650,1,254,314.44,20,1,2011-12-06 16:34:00,2011-12-06 16:34:00,0,0,Segment 0
12651,1,78,114.0,9,1,2011-01-09 12:46:00,2011-01-09 12:46:00,0,0,Segment 0
12652,2,502,914.53,48,2,2011-01-12 15:00:00,2011-01-21 17:01:00,9,2,Segment 2
12653,2,919,2209.85,37,2,2011-02-16 10:53:00,2011-07-14 10:41:00,147,2,Segment 2
12654,5,264,601.98,31,4,2011-02-17 13:16:00,2011-11-29 10:10:00,284,0,Segment 0
12656,8,1708,3982.72,89,8,2011-04-11 09:45:00,2011-11-22 13:42:00,225,2,Segment 2
12657,5,654,1152.06,35,3,2011-09-22 11:40:00,2011-11-28 15:47:00,67,2,Segment 2
12658,1,320,686.05,36,1,2011-11-21 10:22:00,2011-11-21 10:22:00,0,2,Segment 2
12659,1,105,91.68,5,1,2011-11-10 11:53:00,2011-11-10 11:53:00,0,0,Segment 0
12660,1,127,245.1,13,1,2011-11-28 13:26:00,2011-11-28 13:26:00,0,0,Segment 0
12662,12,2040,3817.08,129,11,2010-12-01 13:04:00,2011-12-09 11:59:00,372,2,Segment 2
12664,10,1202,4863.88,10,9,2011-01-21 11:42:00,2011-12-01 17:07:00,314,0,Segment 0
12665,2,36,61.75,3,2,2011-01-12 09:41:00,2011-01-19 08:34:00,6,0,Segment 0
12666,1,-56,-227.44,2,1,2010-12-15 14:42:00,2010-12-15 14:42:00,0,0,Segment 0
