StockCode,TotalRevenue,TotalQuantity,Orders,Customers,AverageUnitPrice,Description,RevenuePercentage
16016,1053.45,1273,65,41,0.8460000000000001,LARGE CHINESE STYLE SCISSOR,0.011853552814666178
16020C,5.1,6,2,1,0.85,CLEAR STATIONERY BOX SET,5.738584589187669e-05
16033,100.79999999999998,840,4,4,0.12,MINI HIGHLIGHTER PENS,0.0011342143658629746
16043,11.759999999999998,98,2,2,0.12,POP ART PUSH DOWN RUBBER,0.00013232500935068036
16045,380.0,8900,68,61,0.043478260869565216,POPART WOODEN PENCILS ASST,0.004275808125277087
16046,54.4,64,13,13,0.85,TEATIME PEN CASE & PENS,0.0006121156895133515
16048,186.72,1436,47,41,0.13249999999999998,TEATIME ROUND PENCIL SHARPENER,0.002100997087241415
16049,82.08,504,5,5,0.24,TEATIME GEL PENS ASST,0.0009235745550598508
16052,105.28999999999999,467,6,5,0.305,TEATIME PUSH DOWN RUBBER,0.001184736414501117
16054,140.52,1166,33,29,0.1290909090909091,POPART RECT PENCIL SHARPENER ASST,0.0015811488362208852
16151A,61.25,49,3,3,1.25,FLOWERS HANDBAG blue and orange,0.0006891927570347936
16156L,199.5,475,18,17,0.42,WRAP CAROUSEL,0.0022447992657704707
16156S,2331.0,5800,167,135,0.4168862275449102,WRAP PINK FAIRY CAKES,0.02622870721058129
16161G,70.0,700,22,22,0.1,WRAP BAD HAIR DAY,0.0007876488651826212
16161M,10.5,25,1,1,0.42,WRAP  PINK FLOCK,0.0001181473297773932
16161P,2980.42,7201,248,189,0.41943548387096774,WRAP ENGLISH ROSE,0.03353606329667983
16161U,1687.5,4075,134,105,0.41955223880597015,WRAP SUKI AND FRIENDS,0.018987963714223906
16162L,11.05,17,6,5,0.65,THE KING GIFT BAG,0.00012433599943239952
16162M,10.92,26,7,6,0.42,THE KING GIFT BAG 25x24x12cm,0.0001228732229684889
16168M,138.18,329,20,19,0.42000000000000004,FUNKY MONKEY GIFT BAG MEDIUM,0.0015548188598704946
16169E,1892.46,4563,149,143,0.41919999999999996,WRAP 50'S  CHRISTMAS,0.021294199591478623
16169K,84.0,200,8,8,0.42,WRAP FOLK ART,0.0009451786382191456
16169M,277.2,660,25,24,0.42,WRAP DAISY CARPET,0.00311908950612318
16169N,10.5,25,1,1,0.42,WRAP BLUE RUSSIAN FOLKART,0.0001181473297773932
16169P,21.0,50,2,2,0.42,WRAP GREEN RUSSIAN FOLKART,0.0002362946595547864
16202A,3.5,7,2,2,0.5,PASTEL PINK PHOTO ALBUM,3.9382443259131063e-05
16202B,14.5,29,2,2,0.5,PASTEL BLUE PHOTO ALBUM,0.00016315583635925727
16202E,7.5,15,3,3,0.5,BLACK PHOTO ALBUM,8.439094984099513e-05
16206B,8.75,7,2,2,1.25,RED PURSE WITH PINK HEART,9.845610814782766e-05
16207A,38.35000000000001,13,5,4,2.95,PINK STRAWBERRY HANDBAG,0.00043151905685362185
16207B,11.31,4,3,3,2.7866666666666666,PINK HEART RED HANDBAG,0.00012726155236022067
16216,227.14,3316,41,38,0.09463414634146342,LETTER SHAPE PENCIL SHARPENER,0.0025558080462511515
16218,253.2,3760,50,43,0.0732,CARTOON  PENCIL SHARPENERS,0.002849038466631996
16219,309.9,2915,47,41,0.09085106382978722,HOUSE SHAPE PENCIL SHARPENER,0.003487034047429919
16225,596.84,760,75,57,1.1866666666666668,RATTLE SNAKE EGGS,0.006715719267079939
16235,518.1899999999999,2629,80,68,0.21400000000000002,RECYCLED PENCIL WITH RABBIT ERASER,0.005830739506414035
16236,266.56,1296,73,59,0.20931506849315068,KITTY PENCIL ERASERS,0.002999366878615422
16237,885.45,4595,162,109,0.2060843373493976,SLEEPING CAT ERASERS,0.009963195538227887
16238,265.09,1259,78,61,0.2362820512820513,PARTY TIME PENCIL ERASERS,0.0029828262524465867
16244B,7.85,7,2,2,1.225,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,8.832919416690825e-05
16248B,16.25,13,7,7,1.25,BLUE HOLE PUNCH,0.00018284705798882282
16254,27.91,31,9,7,1.0233333333333332,TRANSPARENT ACRYLIC TAPE DISPENSER,0.0003140468546749566
16258A,156.53,445,38,29,0.45921052631578946,SWIRLY CIRCULAR RUBBERS IN BAG,0.0017612953838147959
16259,326.56,3380,31,28,0.0967741935483871,PIECE OF CAMO STATIONERY SET,0.003674494477343383
17001,20.88,72,1,1,0.29,HEAVENS SCENT FRAGRANCE OILS ASSTD,0.00023494440435733045
17003,5969.61,22927,206,136,0.3202403846153846,BROCADE RING PURSE,0.0671708077440404
17007B,50.400000000000006,24,2,2,2.1,S/3 POT POURI CUSHIONS BLUE COLOURS,0.0005671071829314874
17011F,62.150000000000006,80,6,6,1.1333333333333335,ORIGAMI SANDLEWOOD INCENSE+FLOWER,0.000699319671015713
17012A,244.89999999999998,270,24,21,1.1079999999999999,ORIGAMI VANILLA INCENSE/CANDLE SET,0.0027556458154746276
17012B,422.54999999999995,455,36,33,1.0763888888888888,ORIGAMI JASMINE INCENSE/CANDLE SET,0.004754586114041666
17012C,341.79999999999995,362,43,37,1.1186046511627907,ORIGAMI LAVENDER INCENSE/CANDL SET,0.0038459768874202845
17012D,362.95,385,44,35,1.0818181818181818,ORIGAMI ROSE INCENSE/CANDLE SET,0.0040839593659718915
17012E,40.05,35,3,3,1.8666666666666665,ORIGAMI OPIUM INCENSE/CANDLE SET,0.000450647672150914
17012F,329.05,365,42,33,1.0035714285714286,ORIGAMI SANDLEWOOD INCENSE/CAND SET,0.0037025122726905934
17013D,257.88,532,11,10,0.8672727272727272,ORIGAMI ROSE INCENSE IN TUBE,0.0029016984193327767
17014A,67.83,154,7,7,0.6071428571428571,ORIGAMI VANILLA INCENSE CONES,0.00076323175036196
17021,632.34,2391,47,30,0.29411764705882354,NAMASTE SWAGAT INCENSE,0.007115169762993983
17028J,2.52,6,1,1,0.42,INCENSE BAZAAR PEACH,2.835535914657437e-05
17038,138.1,1501,19,18,0.09526315789473684,PORCELAIN BUDAH INCENSE HOLDER,0.0015539186897388572
17084A,42.0,200,7,7,0.21,TRANQUILITY MASALA INCENSE,0.0004725893191095728
17084J,47.25,225,8,8,0.21,LOVE POTION MASALA INCENSE,0.0005316629839982694
17084N,212.75,1025,32,25,0.2084375,FAIRY DREAMS INCENSE,0.0023938899438228954
17084P,73.29,349,13,12,0.21,DRAGONS BLOOD INCENSE,0.0008246683618462046
17084R,760.3199999999999,4032,27,16,0.20259259259259257,ASSORTED INCENSE PACK,0.008555216931080722
17090A,107.44999999999999,109,10,9,1.17,LAVENDER INCENSE 40 CONES IN TIN,0.0012090410080553237
17090D,36.25,29,12,6,1.25,VANILLA INCENSE 40 CONES IN TIN,0.00040788959089814317
17091A,98.91,171,25,19,0.7976000000000001,LAVENDER INCENSE IN TIN,0.0011129478465030439
17091J,876.34,2066,87,66,0.5476923076923077,VANILLA INCENSE IN TIN,0.009860688664487692
17096,443.76000000000005,2516,13,12,0.20076923076923076,ASSORTED LAQUERED INCENSE HOLDERS,0.004993243720192001
17107D,433.5,170,46,42,2.55,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",0.004877796900809519
17109D,32.349999999999994,61,5,4,0.9039999999999999,FLOWER FAIRY INCENSE BOUQUET,0.00036400629698082567
17129F,291.25,427,19,11,0.8436842105263158,BLUE GLASS GEMS IN BAG,0.003277181885491978
17136A,29.59,352,17,16,0.10294117647058823,BLUE STONES ON WIRE FOR CANDLE,0.0003329504274393395
17164B,11.34,27,9,9,0.42,ASS COL SMALL SAND GECKO P'WEIGHT,0.00012759911615958466
17165D,28.35,27,7,6,1.05,ASS COL LARGE SAND FROG P'WEIGHT,0.0003189977903989617
17174,3.7800000000000002,9,3,3,0.42,ASSTD RASTA KEY-CHAINS,4.253303871986155e-05
17191A,15.0,4,2,1,3.75,ROSE FLOWER CANDLE+INCENSE 16X16CM,0.00016878189968199027
18007,383.76,5856,17,15,0.16666666666666666,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,0.004318116121464039
18094C,153.1,134,15,13,1.1966666666666665,WHITE AND BLUE CERAMIC OIL BURNER,0.0017227005894208474
18097A,12.75,5,4,4,2.55,PINK TALL PORCELAIN T-LIGHT HOLDER,0.00014346461472969173
18097C,1461.15,669,52,43,2.503846153846154,WHITE TALL PORCELAIN T-LIGHT HOLDER,0.016441044848022675
18098C,540.5500000000001,193,36,24,2.918421052631579,PORCELAIN BUTTERFLY OIL BURNER,0.006082337058206657
20615,233.34,231,35,28,1.4831428571428573,BLUE POLKADOT PASSPORT COVER,0.002625571231453041
20616,122.78,134,25,19,1.3172,CHERRY BLOSSOM PASSPORT COVER,0.0013815361095303178
20617,137.74,66,26,20,2.224615384615385,FIRST CLASS PASSPORT COVER,0.0015498679241464895
20618,137.88000000000002,68,28,20,2.0707142857142857,QUEEN OF THE SKIES PASSPORT COVER,0.0015514432218768548
20619,206.23000000000002,142,22,16,2.309090909090909,TROPICAL PASSPORT COVER,0.0023205260780944574
20622,238.08,162,32,24,1.99,VIPPASSPORT COVER,0.00267890631175255
20652,191.01,147,33,26,1.4333333333333333,BLUE POLKADOT LUGGAGE TAG,0.002149268710550464
20653,43.67,33,6,5,1.6533333333333333,CHERRY BLOSSOM LUGGAGE TAG,0.0004913803706075011
20654,126.69,105,23,21,1.2341666666666666,FIRST CLASS LUGGAGE TAG,0.0014255319247140899
20655,109.11,89,34,20,1.31,QUEEN OF SKIES LUGGAGE TAG,0.0012277195382867975
20657,76.39,61,22,20,1.3513636363636363,TROPICAL LUGGAGE TAG,0.0008595499544471491
20658,408.75,327,59,44,1.25,RED RETROSPOT LUGGAGE TAG,0.004599306766334235
20659,139.56,94,29,18,1.5499999999999998,ECONOMY LUGGAGE TAG,0.0015703467946412374
20661,35.07,9,5,3,4.654,BLUE POLKADOT PURSE,0.00039461208145649327
20662,40.97,11,5,4,4.086,FIRST CLASS HOLIDAY PURSE,0.0004609996286647428
20663,11.690000000000001,3,3,3,3.896666666666667,QUEEN OF THE SKIES HOLIDAY PURSE,0.00013153736048549777
20664,17.700000000000003,6,3,3,2.9500000000000006,TROPICAL HOLIDAY PURSE,0.00019916264162474855
20665,998.2000000000002,340,73,58,2.944520547945206,RED RETROSPOT PURSE,0.011231872817504183
20666,11.8,4,4,4,2.95,ECONOMY HOLIDAY PURSE,0.00013277509441649902
20667,2.95,1,1,1,2.95,CHERRY BLOSSOM PURSE,3.3193773604124755e-05
20668,1397.04,12618,181,111,0.11847826086956523,DISCO BALL CHRISTMAS DECORATION,0.015719671008781844
20669,243.75,195,42,36,1.25,RED HEART LUGGAGE TAG,0.0027427058698323422
20670,29.28,8,6,5,3.896666666666667,VIP HOLIDAY PURSE,0.000329462268179245
20671,12.5,10,2,2,1.25,BLUE TEATIME PRINT BOWL,0.00014065158306832525
20674,1632.81,1360,149,101,1.2517333333333334,GREEN POLKADOT BOWL,0.01837258490798337
20675,3178.65,2728,223,149,1.2418666666666667,BLUE POLKADOT BOWL,0.035766572361610564
20676,4980.7300000000005,4310,298,185,1.2437123745819398,RED RETROSPOT BOWL,0.05604380474687197
20677,3640.0800000000004,3157,220,133,1.2584234234234235,PINK POLKADOT BOWL,0.04095864115962795
20678,6.6,4,1,1,1.65,LARGE BLACK DIAMANTE HAIRSLIDE,7.426403586007572e-05
20679,9055.87,1630,270,141,5.920369003690038,EDWARDIAN PARASOL RED,0.10189779612487637
20681,406.25,125,33,29,3.25,PINK POLKADOT CHILDRENS UMBRELLA,0.00457117644972057
20682,3629.66,1140,182,138,3.312950819672131,RED RETROSPOT CHILDRENS UMBRELLA,0.04084139399998219
20684,250.25,77,32,30,3.25,STRAWBERRY DREAM CHILDS UMBRELLA,0.0028158446930278713
20685,25364.85,3897,576,329,7.758093587521664,DOORMAT RED RETROSPOT,0.28540850454324873
20686,822.38,252,64,51,3.3028125,DOLLY MIXTURE CHILDREN'S UMBRELLA,0.009253523910698344
20694,135.0,36,10,9,3.75,FLORAL PINK MONSTER,0.0015190370971379125
20695,21.25,5,4,4,4.25,FLORAL BLUE MONSTER,0.0002391076912161529
20696,120.0,32,10,10,3.75,FLORAL SOFT CAR TOY,0.0013502551974559221
20697,43.349999999999994,17,9,8,2.55,LITTLE GREEN MONSTER SOFT TOY,0.00048777969008095183
20698,40.8,16,7,7,2.55,LITTLE PINK MONSTER SOFT TOY,0.00045908676713501354
20699,73.94999999999999,29,11,11,2.55,MOUSEY LONG LEGS SOFT TOY,0.0008320947654322119
20700,37.5,10,4,4,3.75,GREEN CAT FLORAL CUSHION COVER,0.0004219547492049757
20701,22.5,6,3,3,3.75,PINK CAT FLORAL CUSHION COVER,0.0002531728495229854
20702,539.75,127,40,31,4.25,PINK PADDED MOBILE,0.006073335356890284
20703,4.25,1,1,1,4.25,BLUE PADDED SOFT MOBILE,4.782153824323057e-05
20704,626.45,211,39,38,4.77051282051282,MR ROBOT SOFT TOY,0.007048894737052188
20705,428.85,143,28,27,4.807142857142857,MRS ROBOT SOFT TOY,0.0048254745119081024
20707,195.52,155,31,20,1.5438709677419356,CRAZY DAISY HEART DECORATION,0.002200015801721516
20711,7689.28,4198,245,152,2.01331983805668,JUMBO BAG TOYS,0.08652075237244894
20712,15511.6,8187,492,248,2.0361971830985914,JUMBO BAG WOODLAND ANIMALS,0.1745384876738107
20713,19047.02,10451,411,207,2.018870192307692,JUMBO BAG OWLS,0.21431948125872416
20716,373.5,314,34,31,1.2445714285714287,PARTY FOOD SHOPPER BAG,0.004202669302081558
20717,2453.38,2034,231,150,1.2760425531914894,STRAWBERRY SHOPPER BAG,0.027605742469453423
20718,5106.56,4257,384,236,1.2659948320413437,RED RETROSPOT SHOPPER BAG,0.05745965984267096
20719,7261.94,9219,531,238,0.8454089219330855,WOODLAND CHARLOTTE BAG,0.08171226857177549
20723,5516.7,6842,492,230,0.8602217741935484,STRAWBERRY CHARLOTTE BAG,0.06207460706504238
20724,10122.45,12805,739,335,0.8493048128342245,RED RETROSPOT CHARLOTTE BAG,0.11389908936239751
20725,28158.8,17776,1289,532,1.6590490797546014,LUNCH BAG RED RETROSPOT,0.31684638378434854
20726,14497.51,9091,820,372,1.6593862815884475,LUNCH BAG WOODLAND,0.16312781856391007
20727,17950.3,11246,1052,458,1.6436920222634508,LUNCH BAG  BLACK SKULL.,0.20197904892410865
20728,17214.53,10789,966,479,1.6569600818833161,LUNCH BAG CARS BLUE,0.19370007170217413
20731,92.5,74,8,8,1.25,POSY CANDY BAG,0.0010408217147056067
20733,687.2,916,46,30,0.8387234042553192,GOLD MINI TAPE MEASURE,0.007732461430764248
20735,121.3,158,30,11,0.8456666666666667,BLACK MINI TAPE MEASURE,0.001364882962095028
20748,675.75,53,30,26,12.75,KENSINGTON COFFEE SET,0.007603624580673662
20749,12107.51,1717,365,239,7.790109289617486,ASSORTED COLOUR MINI CASES,0.13623523588124628
20750,12208.85,1711,365,235,7.748907103825136,RED RETROSPOT MINI CASES,0.1373755263954978
20751,1917.0600000000002,941,171,127,2.0953409090909094,FUNKY WASHING UP GLOVES ASSORTED,0.02157100190695709
20752,756.0000000000001,360,115,91,2.1,BLUE POLKADOT WASHING UP GLOVES,0.008506607743972312
20754,2668.38,1355,239,153,2.089834710743802,RETROSPOT RED WASHING UP GLOVES,0.030024949698228616
20755,247.35,291,50,44,0.85,BLUE PAISLEY POCKET BOOK,0.00278321352575602
20756,53.55,63,22,20,0.85,GREEN FERN POCKET BOOK,0.0006025513818647053
20757,132.53,155,30,30,0.8751612903225806,RED DAISY POCKET BOOK,0.0014912443443236114
20758,134.29999999999998,158,41,35,0.85,ABSTRACT CIRCLES POCKET BOOK,0.001511160608486086
20759,54.4,64,20,17,0.85,CHRYSANTHEMUM POCKET BOOK,0.0006121156895133515
20760,58.65,69,21,18,0.85,GARDEN PATH POCKET BOOK,0.000659937227756582
20761,408.67,107,52,46,3.821346153846154,BLUE PAISLEY SKETCHBOOK,0.004598406596202598
20762,382.46,101,51,42,3.8227450980392157,GREEN FERN SKETCHBOOK,0.004303488356824934
20763,189.96,71,25,24,3.6984,DAISY SKETCHBOOK,0.002137453977572725
20764,483.63,126,60,45,3.9324590163934428,ABSTRACT CIRCLES SKETCHBOOK,0.005441866009546731
20765,367.34,94,51,45,3.968235294117647,CHRYSANTHEMUM SKETCHBOOK,0.004133356201945488
20766,414.58,111,47,41,3.887916666666667,GARDEN PATH SKETCHBOOK,0.004664906664677302
20767,534.3199999999999,214,58,50,2.625344827586207,BLUE PAISLEY JOURNAL,0.006012236309205402
20768,317.71,130,36,31,2.6044444444444443,GREEN FERN JOURNAL,0.0035749131565310085
20769,173.11999999999998,66,26,21,2.6426923076923075,DAISY JOURNAL,0.0019479681648630768
20770,256.65,107,28,24,2.533928571428571,ABSTRACT CIRCLE JOURNAL,0.0028878583035588535
20771,180.91,70,27,21,2.639259259259259,CHRYSANTHEMUM  JOURNAL,0.0020356222314312574
20772,534.46,218,46,40,2.592608695652174,GARDEN PATH JOURNAL,0.006013811606935769
20773,92.39999999999999,56,23,21,1.6499999999999997,BLUE PAISLEY NOTEBOOK,0.00103969650204106
20774,85.8,52,22,21,1.65,GREEN FERN NOTEBOOK,0.0009654324661809844
20775,103.94999999999999,63,20,19,1.65,DAISY NOTEBOOK,0.0011696585647961925
20777,156.75,95,36,32,1.65,CHRYSANTHEMUM NOTEBOOK,0.0017637708516767985
20778,24.75,15,8,8,1.65,GARDEN PATH NOTEBOOK,0.00027849013447528393
20780,192.86,36,17,13,5.737777777777778,BLACK EAR MUFF HEADPHONES,0.0021700851448445764
20781,152.13,29,20,19,5.136,GOLD EAR MUFF HEADPHONES,0.0017117860265747455
20782,215.87,39,17,12,5.593529411764706,CAMOUFLAGE EAR MUFF HEADPHONES,0.0024289965789567494
20785,523.3000000000001,14,5,4,39.15,FUSCHIA RETRO BAR STOOL,0.005888237873572368
20793,54.0,8,4,4,6.75,BLUE TILED TRAY,0.000607614838855165
20794,213.14999999999998,85,15,15,2.5218749999999996,BLUE  TILE HOOK,0.002398390794481082
20795,92.4,44,8,6,2.1,LARGE BLUE PROVENCAL CERAMIC BALL,0.0010396965020410603
20796,100.64999999999999,61,8,8,1.65,SMALL BLUE PROVENCAL CERAMIC BALL,0.0011325265468661546
20798,75.60000000000001,36,5,5,2.1,CLEAR MILKSHAKE GLASS,0.0008506607743972311
20801,708.16,848,54,47,0.9405454545454546,LARGE PINK GLASS SUNDAE DISH,0.007968306005253214
20802,730.4399999999999,648,44,40,1.4686363636363635,SMALL GLASS SUNDAE DISH CLEAR,0.0082190033869142
20803,383.91,911,31,26,0.5196774193548387,SMALL PINK GLASS SUNDAE DISH,0.004319803940460859
20816,15.6,8,2,1,1.95,GOLD FLOWER CUSHION COVER,0.0001755331756692699
20818,20.0,12,2,2,2.5,GOLD TEDDY BEAR,0.00022504253290932036
20819,183.71,48,16,14,3.981875,SILVER TEDDY BEAR,0.0020671281860385623
20820,24.75,5,2,2,4.95,SILVER LOOKING MIRROR,0.00027849013447528393
20821,79.2,16,5,5,4.95,GOLDIE LOOKING MIRROR,0.0008911684303209087
20823,126.4,160,7,6,0.79,GOLD WINE GOBLET,0.0014222688079869048
20826,128.4,276,8,7,0.8225,SILVER APERITIF GLASS,0.0014447730612778369
20827,34.32,88,2,1,0.39,GOLD APERITIF GLASS,0.00038617298647239374
20828,2489.1,1010,177,116,2.5402173913043478,GLITTER BUTTERFLY CLIPS,0.028007668433229466
20829,2528.3900000000003,1264,163,90,2.153095238095238,GLITTER HANGING BUTTERFLY STRING,0.028449764489129833
20830,157.5,75,20,19,2.1,SILVER PHOTO FRAME,0.0017722099466608977
20831,272.34000000000003,169,24,19,1.8645833333333333,GOLD PHOTO FRAME,0.003064404170626216
20832,517.68,1010,55,47,0.5778571428571428,RED FLOCK LOVE HEART PHOTO FRAME,0.005825000921824848
20835,54.779999999999994,66,7,7,0.83,FRENCH LATTICE CUSHION COVER,0.0006163914976386284
20836,141.1,170,17,14,0.83,FRENCH PAISLEY CUSHION COVER,0.0015876750696752551
20837,142.47,141,15,14,0.9713333333333334,FRENCH FLORAL CUSHION COVER,0.0016030904831795438
20838,282.94,330,33,30,0.9239393939393938,FRENCH LATTICE CUSHION COVER,0.0031836767130681556
20839,411.84,452,49,44,0.9855102040816326,FRENCH PAISLEY CUSHION COVER,0.004634075837668725
20840,399.28,464,43,35,0.9609090909090909,FRENCH FLORAL CUSHION COVER,0.004492749127001672
20845,120.64999999999999,19,11,7,6.35,ZINC HEART LATTICE 2 WALL PLANTER,0.0013575690797754752
20846,784.22,646,62,50,1.2601587301587303,ZINC HEART LATTICE T-LIGHT HOLDER,0.008824142757907362
20847,172.5,46,14,12,3.75,ZINC HEART LATTICE CHARGER LARGE,0.0019409918463428881
20848,61.95,21,8,7,2.95,ZINC HEART LATTICE CHARGER SMALL,0.0006970692456866198
20851,53.550000000000004,9,7,5,5.95,ZINC HEART LATTICE TRAY OVAL,0.0006025513818647053
20854,252.79999999999998,164,17,16,1.638235294117647,BLUE PATCH PURSE PINK HEART,0.002844537615973809
20856,231.0,140,27,26,1.65,DENIM PATCH PURSE PINK BUTTERFLY,0.0025992412551026503
20857,52.8,32,8,7,1.65,BLUE ROSE PATCH PURSE PINK BUTTERFL,0.0005941122868806058
20861,4.2,2,2,2,2.1,GOLD COSMETIC BAG PINK STAR,4.725893191095728e-05
20866,487.34,408,37,34,1.305135135135135,BLUE ROSE FABRIC MIRROR,0.005483611399401409
20867,231.47,187,25,23,1.2424,PINK ROSE FABRIC MIRROR,0.002604529754626019
20868,159.26000000000002,381,31,29,0.567741935483871,SILVER FABRIC MIRROR,0.0017920136895569181
20869,54.21000000000001,139,17,17,0.39,GOLD FABRIC MIRROR,0.000609977785450713
20878,30.0,24,7,7,1.25,SET/9 CHRISTMAS T-LIGHTS SCENTED,0.00033756379936398053
20886,851.4,452,77,56,1.946153846153846,BOX OF 9 PEBBLE CANDLES,0.009580060625949767
20892,12.75,1,1,1,12.75,SET/3 TALL GLASS CANDLE HOLDER PINK,0.00014346461472969173
20893,566.55,258,19,16,2.478947368421052,HANGING BAUBLE T-LIGHT HOLDER SMALL,0.006374892350988773
20894,73.75,25,9,9,2.95,HANGING BAUBLE T-LIGHT HOLDER LARGE,0.0008298443401031189
20897,230.35,85,8,8,2.9000000000000004,VINTAGE NOTEBOOK PARIS DAYS,0.0025919273727830973
20898,73.75,25,4,4,2.95,VINTAGE NOTEBOOK TRAVELOGUE,0.0008298443401031189
20901,19.049999999999997,3,2,2,6.35,VINTAGE KEEPSAKE BOX PINK FLOWER,0.00021435301259612762
20902,190.35,33,6,6,6.216666666666666,VINTAGE KEEPSAKE BOX PARIS DAYS,0.0021418423069644566
20903,127.0,20,10,10,6.35,VINTAGE KEEPSAKE BOX TRAVELOGUE,0.0014290200839741844
20906,8.850000000000001,3,2,2,2.95,VINTAGE NOTEBOOK BEAUTY GIRL,9.958132081237427e-05
20910,50.8,8,3,2,6.349999999999999,VINTAGE PHOTO ALBUM PARIS DAYS,0.0005716080335896737
20914,17271.530000000002,6159,764,356,2.9525322997416024,SET/5 RED RETROSPOT LID GLASS BOWLS,0.19434144292096572
20931,794.45,263,37,35,3.114864864864865,BLUE POT PLANT CANDLE,0.00893925201349048
20932,516.25,189,22,22,3.0090909090909093,PINK POT PLANT CANDLE,0.005808910380721832
20933,71.05,23,9,9,3.127777777777778,YELLOW POT PLANT CANDLE,0.0007994635981603606
20934,294.3,54,20,20,5.45,SET/3 POT PLANT CANDLES,0.0033115008717606496
20935,17.700000000000003,6,4,4,2.95,ROUND CACTUS CANDLE,0.00019916264162474855
20936,272.98,92,26,21,3.0876923076923077,FORKED CACTUS CANDLE,0.003071605531679314
20941,76.25,61,17,13,1.25,FROG CANDLE,0.000857974656716784
20956,913.63,728,59,51,1.2903333333333333,PORCELAIN T-LIGHT HOLDERS ASSORTED,0.010280280467097119
20961,1301.86,1026,127,82,1.316171875,STRAWBERRY BATH SPONGE,0.01464869359466639
20963,1397.99,1100,122,83,1.32744,APPLE BATH SPONGE,0.015730360529095037
20964,5.1,2,1,1,2.55,POLYESTER FILLER PAD 60x40cm,5.738584589187669e-05
20966,698.25,589,41,28,1.2453658536585366,SANDWICH BATH SPONGE,0.007856797430196648
20967,960.0,256,75,63,3.75,GREY FLORAL FELTCRAFT SHOULDER BAG,0.010802041579647377
20969,6726.81,1874,257,157,3.8198054474708174,RED FLORAL FELTCRAFT SHOULDER BAG,0.07569091803998727
20970,3979.88,1080,230,141,3.781038961038961,PINK FLORAL FELTCRAFT SHOULDER BAG,0.044782113793757294
