StockCode,CancellationRecords,CancelledQuantity,CancelledValue
23581,4,122,224.76000000000002
22087,8,76,223.8
22778,18,64,223.11999999999998
23582,3,121,222.68
85103,1,37,220.15
23210,4,200,219.76
23355,7,48,218.4
21463,8,42,216.90000000000003
20733,1,300,216.0
22385,4,118,215.14
21671,14,152,214.80999999999997
23215,1,120,214.8
23083,3,63,214.17000000000002
22389,1,100,210.0
22839,10,14,209.29999999999998
21537,7,55,208.75
23084,15,108,208.40000000000003
22469,11,135,207.95000000000002
22383,20,138,207.3
23240,17,50,206.7
84978,30,175,206.59
20829,6,120,205.26
75049L,20,228,204.20000000000002
22103,3,482,201.66000000000003
22930,1,96,201.60000000000002
22356,17,266,201.52999999999997
22220,9,22,201.5
22784,27,41,200.84999999999997
20979,16,160,200.0
23486,6,13,199.65000000000003
22625,18,24,198.04999999999998
22936,1,72,198.0
22935,1,72,198.0
22090,7,72,196.40000000000003
22139,16,42,195.29999999999998
22649,20,40,195.2
22909,7,259,195.19
22929,2,3,195.0
22180,12,20,194.64999999999995
22366,3,27,194.07000000000002
22654,14,33,193.35000000000002
22193,9,24,192.95000000000002
22791,10,177,192.75000000000003
22738,2,130,190.5
22470,16,68,189.5
22968,10,20,188.85
21231,29,157,188.07999999999998
22464,11,122,186.89999999999998
22969,8,140,185.79999999999998
20727,21,118,185.70000000000002
22866,4,99,183.9
37495,12,49,183.75
22364,14,67,182.45
22071,5,286,180.5
22725,14,48,180.0
23118,17,24,180.0
22179,6,29,178.95
22848,8,11,176.45
22618,3,20,174.18
21210,5,133,173.65
17003,3,3,172.8
22303,10,74,171.15
82484,11,24,170.95
35004C,8,36,170.6
20724,16,223,170.31
23322,10,63,169.84999999999997
21181,10,87,169.7
23301,11,114,168.90000000000003
22192,7,21,168.3
21218,11,49,165.25
23146,22,50,164.1
84406B,6,42,162.5
21166,11,87,161.1
22461,12,22,160.70000000000002
48129,4,23,159.15
22840,15,20,158.0
22837,2,37,157.65
21936,12,56,157.10000000000002
22668,3,60,157.0
22106,2,121,156.75
22591,6,59,156.04999999999998
23165,18,102,154.5
23172,9,102,154.3
85023B,2,73,153.75000000000003
22730,12,41,153.75
22728,17,41,153.75
21850,1,36,153.0
21733,13,57,152.95000000000002
84754,1,144,152.64000000000001
22457,17,52,152.6
22622,5,13,151.34999999999997
23228,1,144,149.76
22088,3,56,149.2
22061,15,16,149.04999999999998
21533,11,32,147.9
21484,2,48,147.60000000000002
21212,12,284,146.58
23171,5,97,146.25
21430,12,41,144.02999999999997
21673,8,103,143.95
23404,14,29,143.55
22617,15,29,142.15
23250,8,121,141.8
23075,6,34,141.10000000000002
22952,4,312,140.4
23205,8,191,140.25
22418,7,165,140.25
22810,2,54,140.1
71053,9,39,139.77
21260,2,43,139.75
22083,4,47,138.65
22553,7,84,138.59999999999997
23204,8,186,138.34
22574,1,192,138.24
22624,9,17,137.7
35004B,9,30,136.79999999999998
21428,6,35,136.25
22637,23,55,136.20000000000002
22474,1,32,136.0
22943,10,28,135.8
85152,3,74,135.22
35400,8,16,135.2
20726,19,82,134.9
79191C,13,158,134.29999999999998
22945,4,180,134.27999999999997
22923,6,176,134.0
84032B,4,66,133.50000000000003
82583,10,72,133.46
23048,4,32,132.8
22988,9,112,132.78
22798,17,45,132.75
22504,4,5,132.55
22186,4,53,132.14999999999998
22429,15,31,131.75
22114,4,34,130.1
23155,14,169,129.71
23085,5,13,128.75
84997B,3,34,127.5
84968A,3,10,127.5
22669,1,50,127.49999999999999
22842,14,19,127.45
22492,10,196,127.4
20866,1,120,127.2
82580,5,290,127.0
23154,3,61,126.88
22101,1,324,126.36
22959,3,300,126.0
23079,7,14,125.3
23158,3,60,124.8
47590B,4,26,124.1
22980,6,81,124.05
23252,7,33,123.75
22891,17,29,123.25
22379,5,64,122.64999999999999
47351B,1,48,122.39999999999999
22922,4,162,122.1
21135,2,292,121.96000000000001
35970,6,73,121.17
22766,15,41,120.95000000000002
22084,2,41,120.95
22726,22,32,120.0
22120,2,12,119.39999999999999
84665,3,20,119.0
23008,4,7,118.65
22170,5,19,118.65
23247,5,46,118.54000000000002
22606,8,11,118.25
22722,12,30,118.00000000000001
22326,17,40,118.00000000000001
22924,4,157,117.85
22979,5,91,117.55000000000001
22627,13,15,117.21000000000001
22938,4,60,117.0
21658,23,31,116.29000000000003
22729,18,31,115.89
23239,9,28,115.80000000000001
22892,17,96,115.19
21669,10,80,115.00999999999999
47590A,3,24,114.80000000000001
21906,6,17,114.75
84792,4,29,114.69
23163,2,55,114.4
22109,5,33,114.39
22355,12,150,113.59
21820,3,30,112.5
22578,3,133,112.49
22333,11,68,112.19999999999999
22867,6,53,111.30000000000001
22168,9,13,110.5
23208,4,73,109.85
22694,4,52,109.2
47599B,2,52,109.2
21539,16,23,108.95
22556,10,66,108.89999999999999
84997D,3,29,108.75
15034,4,1385,108.29000000000002
22779,6,25,106.25
22780,8,25,106.25
71459,11,129,105.88
22130,2,145,104.52999999999999
22113,4,27,104.25
22628,11,21,103.95
22595,1,144,103.67999999999999
22593,1,144,103.67999999999999
22841,9,13,103.35000000000001
23082,6,28,103.16
21668,10,84,102.66999999999999
84012,1,120,102.0
23007,3,6,101.69999999999999
84818,7,95,101.45000000000002
23176,10,45,101.25
21873,4,91,100.07000000000001
23041,1,24,99.60000000000001
21868,10,85,99.41
21485,8,20,99.0
22430,7,20,99.0
23315,1,12,97.80000000000001
48138,7,12,97.5
22398,3,78,97.5
22362,7,33,97.35000000000001
22605,7,8,97.0
21670,7,69,96.25
37450,12,36,96.2
84944,2,58,95.69999999999999
23206,12,58,95.5
23275,4,77,95.41
23236,17,33,95.37
23526,2,16,95.2
22231,9,69,95.05
22041,4,38,93.75
20977,4,75,93.75
21528,10,14,93.30000000000001
23198,14,64,92.79999999999998
22629,8,54,92.7
22144,3,44,92.4
22963,12,115,90.85999999999999
23080,7,11,90.75
84378,4,72,90.0
22693,2,72,90.0
23351,2,84,89.88
84616,2,3,89.85
21217,7,9,89.55000000000001
23487,6,9,89.55
84459A,3,60,89.4
22926,6,15,89.25
21622,6,18,89.10000000000001
37446,12,69,88.85000000000001
21974,6,61,88.44999999999999
21257,5,12,88.4
22156,13,105,88.21
22845,9,14,88.1
22829,2,10,87.9
23249,7,55,87.71
22442,7,11,87.45000000000002
20719,8,112,87.39999999999999
22060,6,16,87.2
22734,4,30,86.69999999999999
84945,18,102,86.69999999999999
85159B,13,38,86.54000000000002
22623,5,16,85.20000000000002
22993,9,68,85.0
84380,7,63,83.75
22927,7,14,83.30000000000001
23194,8,37,83.25
22577,2,101,83.05
23045,1,20,83.0
23254,8,20,83.0
84032A,2,28,82.60000000000001
84991,7,150,82.50000000000001
21499,2,225,82.5
22508,4,22,82.5
85159A,6,40,82.39999999999999
22579,1,96,81.6
84879,10,48,81.11999999999999
21535,16,32,80.69999999999999
21452,12,28,80.2
22571,3,109,80.17
23126,6,16,79.20000000000002
21915,8,63,78.75
23393,6,21,78.75
21216,10,16,78.50000000000001
22795,3,17,78.45
22940,4,29,78.25
20975,4,120,78.0
22989,4,24,78.0
23092,9,10,77.75
84817,6,37,77.70000000000002
22380,6,37,77.7
21672,7,59,77.55
23004,4,184,77.28
21275,2,5,76.75
22486,3,6,76.5
22526,4,6,76.5
22626,4,9,76.5
22485,4,6,76.5
22357,8,18,76.5
84029E,5,19,76.45
22107,4,21,76.25
21156,8,39,76.05
23032,11,46,75.89999999999999
21845,8,52,75.64
20893,1,36,75.60000000000001
20934,4,14,75.30000000000001
22832,5,7,75.25
23077,3,60,75.0
23212,3,60,75.0
23458,4,5,74.75
22760,6,6,74.7
22998,11,177,74.34
21429,9,42,74.1
21810,2,59,73.75
23020,6,6,73.65
82600,4,38,73.30000000000001
85034C,5,20,73.0
23251,5,58,72.5
21190,1,50,72.5
21790,4,85,72.24999999999999
22962,21,85,72.11999999999999
22957,4,26,71.9
22158,8,25,71.75
22057,4,48,71.52
22072,9,19,71.25
22801,11,19,70.89
23470,8,12,70.7
22128,3,56,70.0
22211,1,48,69.6
22198,15,43,69.35
23237,10,17,69.35
22939,2,14,69.30000000000001
21363,6,14,69.30000000000001
21812,3,14,69.30000000000001
21730,9,14,68.60000000000001
21259,7,12,68.4
22367,11,35,68.25
23480,2,20,68.1
90185C,3,16,68.0
84247E,2,23,67.85000000000001
84352,3,4,67.8
23324,2,35,67.51
21591,2,54,67.5
22843,8,10,67.5
37448,12,45,67.05
22558,11,42,66.57999999999998
23042,1,10,66.5
22737,2,40,66.0
22809,2,24,66.0
22951,5,120,66.0
51014L,2,84,65.88
23209,11,40,65.8
23168,18,54,65.61
23238,8,16,65.6
21754,9,11,65.05
22299,3,52,65.0
20682,6,20,65.0
22967,4,22,64.9
22621,4,51,64.75
23127,3,13,64.35000000000001
23184,4,13,64.35000000000001
22325,6,13,64.35000000000001
21534,8,13,64.35
22631,5,33,64.35
23321,4,39,64.35
23313,2,13,64.35
46000S,3,44,63.8
23382,3,17,63.75
20749,6,8,63.60000000000001
85116,2,30,63.00000000000001
20723,12,75,62.709999999999994
20961,1,50,62.5
23314,2,5,62.5
23022,2,30,62.400000000000006
84992,4,130,62.14
22665,9,22,62.1
22027,3,168,61.919999999999995
84535B,2,95,61.75
21122,3,49,61.25
21124,3,49,61.25
21288,1,24,61.199999999999996
51014A,1,72,61.199999999999996
22897,5,42,60.9
21655,3,36,60.84
21352,2,9,60.75
84598,1,288,60.48
23267,1,48,60.0
84279P,7,16,60.0
21121,2,48,60.0
23078,2,48,60.0
23226,1,48,60.0
84632,1,1,59.95
22770,4,4,59.8
21198,2,72,59.75999999999999
23225,3,72,59.75999999999999
23397,5,6,59.699999999999996
23407,4,6,59.699999999999996
20821,2,12,59.400000000000006
21846,1,12,59.400000000000006
22301,11,24,59.4
21242,4,35,59.150000000000006
21876,9,42,58.9
23263,5,47,58.75
21844,11,20,58.6
22653,2,30,58.5
15056P,4,10,58.2
84029G,4,14,58.0
23015,3,7,57.75
22488,9,35,57.74999999999999
23283,2,7,57.45
85053,14,28,57.16000000000001
22788,4,6,56.8
21262,3,5,56.74999999999999
22381,7,27,56.45000000000001
22585,3,45,56.25
23242,3,27,56.16
22064,14,35,56.14999999999999
22242,3,34,56.099999999999994
22077,6,34,56.099999999999994
22972,8,34,56.099999999999994
21891,5,43,55.56999999999999
21977,6,101,55.55000000000001
21932,3,33,55.349999999999994
84688,2,13,55.25
21137,5,15,55.17
84880,2,9,55.1
22232,5,64,54.71999999999999
22633,7,26,54.60000000000001
21908,3,26,54.60000000000001
22965,4,26,54.60000000000001
23302,5,36,54.239999999999995
79323W,1,8,54.0
79323P,2,8,54.0
79323B,2,8,54.0
23002,8,128,53.760000000000005
21055,1,6,53.699999999999996
22371,9,13,53.65
20679,3,9,53.550000000000004
22320,4,9,53.550000000000004
23356,2,9,53.55
23099,4,8,53.2
22413,3,18,53.10000000000001
22808,1,18,53.1
22859,6,32,52.79999999999999
84750A,2,27,52.65
16169E,2,125,52.5
23159,3,25,52.0
84826,1,60,51.0
21361,2,4,51.0
85019C,1,12,51.0
21205,4,20,51.0
84968C,2,4,51.0
23010,2,3,50.849999999999994
21833,3,30,50.7
22902,2,24,50.400000000000006
22217,1,40,50.0
C2,1,1,50.0
22494,7,40,50.0
84997A,3,13,49.95
23156,2,24,49.92
23392,1,24,49.92
23413,1,12,49.800000000000004
23140,1,12,49.800000000000004
22167,4,5,49.75
22763,3,5,49.75
23460,4,5,49.75
22079,3,30,49.5
23081,3,6,49.5
21524,3,6,48.9
21927,8,39,48.75
22349,2,13,48.75
23542,3,6,48.7
90160A,1,7,48.65
22983,2,133,48.599999999999994
23307,5,88,48.400000000000006
22212,7,23,48.30000000000001
22690,4,6,48.3
21530,8,61,48.190000000000005
23221,4,58,48.13999999999999
22551,8,29,47.849999999999994
22554,5,29,47.849999999999994
48184,3,6,47.7
20750,4,6,47.7
22925,5,8,47.6
23348,8,23,47.260000000000005
21351,2,7,47.25
21937,6,16,47.2
85063,2,3,46.849999999999994
21642,6,118,46.53999999999999
47567B,5,8,46.300000000000004
23234,5,16,46.24
23029,8,28,46.199999999999996
23103,3,28,46.199999999999996
22307,5,39,45.900000000000006
22896,2,18,45.9
37342,3,56,45.68000000000001
21068,3,42,45.660000000000004
21791,3,36,45.0
22073,2,12,45.0
23193,6,20,45.0
21821,1,12,45.0
21914,2,36,45.0
23177,5,20,45.0
22557,4,27,44.55
22439,3,68,44.2
21277,2,2,43.9
22761,1,2,43.9
23091,4,7,43.75
84836,2,35,43.75
22741,3,51,43.349999999999994
23287,2,51,43.349999999999994
21399,4,111,43.29
21238,9,51,43.22
22536,1,120,43.199999999999996
22701,5,16,43.0
21626,5,22,42.9
23297,4,26,42.9
51014C,4,110,42.9
23347,3,34,42.5
22294,3,34,42.5
84755,11,65,42.25
21381,2,25,42.25
22465,7,27,42.14999999999999
21864,1,20,42.0
21098,2,39,41.910000000000004
22646,9,31,41.9
23534,2,7,41.650000000000006
84625C,5,49,41.65
22777,4,5,41.65
23286,3,49,41.65
20931,2,14,41.300000000000004
22426,3,11,41.25
85175,4,98,41.160000000000004
22812,3,21,40.95
84031B,1,21,40.949999999999996
23229,5,11,40.89
22586,2,48,40.8
22352,9,16,40.8
84800L,1,24,40.56
85141,3,9,40.55
23235,7,14,40.46
22818,3,96,40.32
20711,7,22,40.309999999999995
22342,2,36,40.199999999999996
48188,3,5,40.05
21523,3,5,40.05
22444,3,32,40.0
22094,5,65,39.97
21686,1,1,39.95
82582,4,19,39.900000000000006
23354,2,48,39.839999999999996
21623,4,4,39.8
23414,1,4,39.8
22947,3,5,39.75
22794,4,5,39.75
21777,2,5,39.75
22476,1,8,39.6
21645,1,24,39.599999999999994
22759,2,24,39.599999999999994
23433,3,47,39.00999999999999
84031A,1,20,39.0
22863,2,13,38.35000000000001
84947,10,32,38.29
21464,4,9,38.25
72807A,5,9,38.25
90185B,2,9,38.25
22584,2,15,38.24999999999999
22055,7,23,37.74999999999999
22971,5,16,37.64999999999999
23320,2,13,37.57
23459,2,3,37.5
22680,2,30,37.5
22771,4,30,37.5
47559B,2,30,37.5
23130,2,9,37.35
15058B,2,5,37.35
15058A,4,5,37.35
23255,3,9,37.35
84766,3,15,37.25
84849D,2,22,37.18
22607,4,4,36.9
23144,3,44,36.519999999999996
21531,11,15,36.449999999999996
22973,5,22,36.3
72741,8,25,36.25
23197,7,25,36.24999999999999
21703,5,86,36.12
21975,3,71,36.06
22824,1,1,35.95
22059,8,24,35.760000000000005
22928,4,6,35.7
85014A,1,6,35.7
23014,3,9,35.55
20897,2,12,35.400000000000006
21696,1,12,35.400000000000006
21559,10,14,35.24999999999999
23309,4,64,35.2
84799,2,60,35.16
22434,2,18,35.1
23076,2,28,35.0
22775,2,28,35.0
22361,6,12,35.0
21875,5,28,35.0
22291,1,24,34.8
21824,1,24,34.8
23106,1,12,34.68
23128,2,7,34.650000000000006
21813,2,7,34.650000000000006
21197,1,21,34.65
22555,4,21,34.64999999999999
21042,5,6,34.400000000000006
22199,2,8,34.0
22602,2,40,34.0
22907,5,40,34.0
22632,7,17,33.95
22507,5,7,33.95
22675,3,27,33.75
23296,6,27,33.75
20793,1,5,33.75
84509A,3,9,33.75
22970,3,16,33.6
85172,1,80,33.6
22233,4,21,33.59
22937,2,13,33.15
21586,2,13,33.15
22300,5,13,33.15
48173C,2,4,33.0
22082,2,20,33.0
23181,4,4,33.0
23031,9,20,33.0
22974,7,20,32.99999999999999
23661,4,20,32.99999999999999
22997,8,78,32.760000000000005
23006,5,78,32.760000000000005
21870,3,26,32.5
21889,2,26,32.5
84247K,1,11,32.45
22327,5,11,32.45
22162,2,11,32.45
21713,5,16,32.35
22263,1,49,32.34
23253,2,2,31.9
48187,2,4,31.8
22283,2,4,31.8
22189,5,8,31.6
23012,5,8,31.6
21705,3,20,31.599999999999994
22700,4,22,31.300000000000004
21644,2,25,31.25
22244,8,16,31.199999999999996
22596,6,25,30.72
22582,1,12,30.599999999999998
21039,2,12,30.599999999999998
47580,2,12,30.599999999999998
84798A,1,12,30.599999999999998
22302,3,12,30.599999999999998
90174,2,12,30.599999999999998
21700,1,36,30.599999999999998
21284,2,36,30.36
21240,5,36,30.340000000000003
23120,2,72,30.240000000000002
22098,6,75,30.11
21123,1,24,30.0
72817,1,24,30.0
22686,2,24,30.0
23299,2,8,30.0
84828,1,24,30.0
23211,1,24,30.0
72816,1,24,30.0
22550,2,8,30.0
20972,2,24,30.0
90013A,1,8,30.0
35953,1,24,30.0
22982,2,24,30.0
22466,2,18,29.999999999999996
21667,1,2,29.9
21628,1,2,29.9
21344,1,3,29.849999999999998
20703,3,7,29.75
21624,2,5,29.75
22912,2,6,29.700000000000003
22278,3,6,29.700000000000003
21770,1,6,29.700000000000003
22425,3,6,29.7
23325,3,18,29.699999999999996
23328,5,8,29.64
20932,2,10,29.5
22153,3,70,29.400000000000002
22964,7,14,29.400000000000002
21067,3,27,29.380000000000003
22148,2,15,29.25
20718,4,24,29.24
21169,5,18,29.220000000000002
23026,2,14,29.12
23408,3,14,29.12
22597,2,34,28.9
22306,4,17,28.699999999999996
20803,2,68,28.56
22329,3,17,28.049999999999997
21899,4,43,27.950000000000003
85180A,1,6,27.900000000000002
21980,2,96,27.839999999999996
37370,5,23,27.8
20704,1,4,27.8
21874,7,22,27.709999999999997
20676,3,22,27.5
23149,2,11,27.39
84375,2,13,27.300000000000004
21907,2,13,27.300000000000004
22748,3,13,27.300000000000004
22745,3,13,27.300000000000004
21903,2,13,27.300000000000004
22432,3,14,27.299999999999997
71038,2,5,27.25
84849A,1,16,27.04
21349,1,4,27.0
21581,1,12,27.0
23293,5,32,26.56
21743,2,9,26.55
21213,1,48,26.400000000000002
22672,3,16,26.4
85040A,7,16,26.4
22662,7,16,26.4
23660,4,16,26.399999999999995
23395,5,7,26.25
23527,2,7,26.25
84279B,3,7,26.25
21888,3,7,26.25
23183,2,7,26.25
23292,6,21,26.25
23152,3,7,26.25
23409,2,7,26.25
22856,2,21,26.25
72818,1,36,25.919999999999998
22270,3,7,25.89
23089,7,15,25.65
82001S,4,7,25.53
85036B,1,6,25.5
21411,1,6,25.5
90185A,1,6,25.5
85035A,3,6,25.5
21244,3,15,25.349999999999998
22417,2,46,25.300000000000004
22746,2,12,25.200000000000003
22664,3,12,25.2
47503A,2,36,25.08
23094,2,2,25.0
21289,2,20,25.0
21714,5,20,25.0
23335,2,12,24.96
22764,1,1,24.95
23131,2,6,24.9
20857,1,15,24.75
22914,4,5,24.75
23049,2,3,24.75
85127,1,5,24.75
22860,2,15,24.75
22505,5,5,24.75
22652,5,15,24.749999999999996
22645,4,17,24.449999999999996
22691,2,3,24.15
48116,2,3,24.15
22196,4,29,24.13
20801,2,32,24.0
37447,6,17,23.889999999999997
22692,2,3,23.85
84631,2,3,23.85
22166,2,3,23.85
48194,2,3,23.85
22499,2,4,23.8
85194L,3,28,23.8
84687,3,4,23.8
21755,2,4,23.8
84820,1,4,23.8
23536,1,4,23.8
22600,3,28,23.799999999999997
22460,6,19,23.75
23013,3,6,23.7
21313,10,31,23.619999999999997
22358,4,8,23.6
22744,2,8,23.6
22271,2,8,23.6
22246,1,12,23.4
84625A,2,20,23.3
20854,1,14,23.099999999999998
23188,3,14,23.099999999999994
23132,3,4,23.0
22181,2,27,22.95
20794,2,9,22.95
23311,3,9,22.949999999999996
23427,2,2,22.9
84997C,2,6,22.9
84050,3,14,22.699999999999996
22915,3,54,22.68
21829,1,108,22.68
22750,2,6,22.5
23523,1,6,22.5
21579,3,10,22.5
22399,2,18,22.5
22800,5,6,22.5
23525,1,6,22.5
23524,1,6,22.5
85059,2,8,22.5
23119,2,36,22.32
15039,3,26,22.099999999999998
22219,3,26,22.099999999999998
22065,8,22,22.02
23147,6,15,21.75
84987,3,15,21.749999999999996
22663,2,11,21.45
22736,2,13,21.45
22068,2,13,21.449999999999996
22150,4,11,21.449999999999996
22284,2,13,21.449999999999996
23232,3,51,21.42
35971,2,17,21.25
22852,2,5,21.25
22704,2,50,21.0
21498,2,50,21.0
23230,2,50,21.0
22045,2,50,21.0
22428,2,3,20.85
85034A,3,7,20.75
35648,2,25,20.749999999999996
22318,2,7,20.650000000000002
22274,2,7,20.650000000000002
90201B,2,7,20.650000000000002
22311,2,7,20.650000000000002
22995,3,49,20.580000000000002
21716,1,8,20.4
22599,1,24,20.4
22949,2,14,20.299999999999997
21165,1,12,20.28
84970S,6,25,20.2
22567,3,16,20.2
21830,2,48,20.16
22535,1,48,20.16
22537,1,48,20.16
84536B,2,48,20.16
21199,1,48,20.16
22155,1,48,20.16
22449,1,6,20.1
20802,2,39,20.07
22251,3,16,20.0
23372,1,16,20.0
23086,1,16,20.0
20978,1,16,20.0
23016,1,3,19.950000000000003
21034,3,21,19.95
21784,1,2,19.9
22221,2,2,19.9
90147,1,2,19.9
22774,3,16,19.81
85045,1,4,19.8
22913,2,4,19.8
22295,1,12,19.799999999999997
21911,1,12,19.799999999999997
22074,1,12,19.799999999999997
70007,1,12,19.799999999999997
90170,1,12,19.799999999999997
22075,1,12,19.799999999999997
35651,1,12,19.799999999999997
22163,2,25,19.75
23142,2,2,19.55
22853,1,6,19.5
22468,2,3,19.45
20985,3,16,19.43
84951A,1,24,18.96
35965,1,24,18.96
23196,3,13,18.849999999999998
84988,2,13,18.849999999999998
21172,2,13,18.849999999999998
21470,2,5,18.75
23265,2,15,18.75
23423,3,5,18.75
85049E,2,15,18.75
23087,1,15,18.75
23406,2,3,18.75
23401,3,3,18.75
23436,2,15,18.75
21746,3,15,18.75
22204,2,5,18.75
21811,1,48,18.72
84422,1,48,18.72
21788,3,22,18.5
22377,2,9,18.45
85194S,3,29,18.390000000000004
85047,2,3,18.25
35957,1,96,18.240000000000002
22243,3,11,18.15
22544,1,43,18.06
21056,2,2,17.9
78033,2,3,17.85
90070,1,3,17.85
21239,2,21,17.85
22276,2,7,17.849999999999998
84507C,2,7,17.849999999999998
21872,2,16,17.72
90202C,1,6,17.700000000000003
90202A,1,6,17.700000000000003
90201C,1,6,17.700000000000003
90202D,1,6,17.700000000000003
20898,1,6,17.700000000000003
22895,1,6,17.700000000000003
90168,1,6,17.700000000000003
22495,1,6,17.700000000000003
90177D,1,6,17.700000000000003
90177C,1,6,17.700000000000003
90182C,1,6,17.700000000000003
90177E,1,6,17.700000000000003
