Date,Revenue,Orders,Customers,Units,RevenueRolling7Day
2011-11-01,29069.56,76,74,16530,37090.76857142857
2011-11-02,38536.44,83,79,26592,37436.851428571434
2011-11-03,60536.090000000004,100,86,33435,41212.67
2011-11-04,55716.47,87,73,33416,41208.280000000006
2011-11-06,42508.590000000004,101,88,23085,41967.42428571429
2011-11-07,28602.73,90,81,16358,41139.53571428572
2011-11-08,38151.91,99,95,21582,41874.541428571436
2011-11-09,61241.58,118,101,36888,46470.544285714284
2011-11-10,70373.03,125,112,37955,51018.62857142858
2011-11-11,36932.07,93,87,23844,47646.625714285714
2011-11-13,28416.01,83,75,19610,43746.56
2011-11-14,58595.22,104,93,32050,46044.65
2011-11-15,47535.51,104,93,26773,48749.33285714286
2011-11-16,48154.12,124,111,29010,50178.22000000001
2011-11-17,55683.49,136,125,30235,49384.20714285714
2011-11-18,36606.25,103,98,20224,44560.381428571425
2011-11-20,29642.39,98,91,18457,43518.99857142857
2011-11-21,45202.01,96,85,24494,45916.99857142858
2011-11-22,49438.55,130,120,31596,44608.90285714286
2011-11-23,71722.75,130,107,38287,48064.22285714286
2011-11-24,38359.69,109,98,22812,46665.01857142857
2011-11-25,26542.33,73,69,14142,42501.99571428572
2011-11-27,16969.25,56,51,10307,39696.71000000001
2011-11-28,51632.21,114,97,27932,42838.112857142856
2011-11-29,48640.57,126,109,25886,43329.33571428571
2011-11-30,41396.79,99,92,24423,42180.51285714286
2011-12-01,44405.37,118,111,24810,38278.030000000006
2011-12-02,44526.1,114,95,25524,39158.94571428571
2011-12-04,20232.0,62,58,11321,38257.469999999994
2011-12-05,58081.090000000004,116,105,38347,44130.590000000004
2011-12-06,45989.66,110,103,27736,43324.51142857143
2011-12-07,69230.6,104,94,41011,46265.944285714286
2011-12-08,50395.96,113,105,27476,47551.54
2011-12-09,184329.66,41,35,90552,67540.7242857143
