InvoiceNo,OrderRevenue,Units,ProductLines,CustomerID,InvoiceDate
536500,223.9,102,15,17377,2010-12-01 12:35:00
536502,95.29,39,5,16552,2010-12-01 12:36:00
536508,155.52,216,2,17181,2010-12-01 12:38:00
536514,295.5,118,5,17951,2010-12-01 12:40:00
536520,313.49,197,69,14729,2010-12-01 12:43:00
536521,4.95,1,1,12748,2010-12-01 12:48:00
536522,188.56,84,46,15012,2010-12-01 12:49:00
536523,203.3,112,12,12868,2010-12-01 12:50:00
536524,70.80000000000001,24,4,17572,2010-12-01 12:51:00
536525,136.24,29,13,14078,2010-12-01 12:54:00
536526,301.24,94,9,14001,2010-12-01 12:58:00
536527,261.48,157,15,12662,2010-12-01 13:04:00
536528,274.93,113,44,15525,2010-12-01 13:17:00
536529,161.0,38,9,14237,2010-12-01 13:20:00
536530,200.5,71,22,17905,2010-12-01 13:21:00
536531,939.59,391,22,15485,2010-12-01 13:23:00
536532,1919.1399999999999,1852,73,12433,2010-12-01 13:24:00
536533,156.1,80,6,16955,2010-12-01 13:31:00
536534,115.65,51,5,15350,2010-12-01 13:33:00
536535,194.85000000000002,71,12,15605,2010-12-01 13:38:00
536536,165.04999999999998,95,3,18144,2010-12-01 13:45:00
536537,369.5,138,11,15922,2010-12-01 13:51:00
536538,255.0,146,31,14594,2010-12-01 13:54:00
536539,487.75,160,27,15165,2010-12-01 14:03:00
536540,540.38,231,20,14911,2010-12-01 14:05:00
536541,15.0,12,1,14911,2010-12-01 14:05:00
536542,787.4,392,16,16456,2010-12-01 14:11:00
536551,134.11,84,29,17346,2010-12-01 14:34:00
536556,101.55,71,8,17643,2010-12-01 14:38:00
536557,532.43,198,62,17841,2010-12-01 14:41:00
536559,204.95,117,7,17873,2010-12-01 14:54:00
536560,799.4,256,13,13093,2010-12-01 15:00:00
536561,322.40000000000003,140,15,12921,2010-12-01 15:06:00
536562,308.65000000000003,99,18,13468,2010-12-01 15:08:00
536563,172.54,165,9,17760,2010-12-01 15:08:00
536564,51.4,12,2,13468,2010-12-01 15:08:00
536566,116.25,93,6,16928,2010-12-01 15:21:00
536567,251.40000000000003,132,7,16048,2010-12-01 15:27:00
536568,5.04,12,1,16048,2010-12-01 15:28:00
536569,351.75,153,64,16274,2010-12-01 15:35:00
536570,304.34000000000003,86,5,14496,2010-12-01 15:35:00
536571,294.62,284,18,14696,2010-12-01 15:37:00
536572,442.34999999999997,301,21,16539,2010-12-01 15:40:00
536573,143.12,136,4,17025,2010-12-01 15:45:00
536574,17.85,3,1,17025,2010-12-01 15:46:00
536575,1552.98,858,8,13777,2010-12-01 16:01:00
536576,2558.42,1122,16,13777,2010-12-01 16:11:00
536577,497.0,388,4,13777,2010-12-01 16:13:00
536578,279.6,104,8,17690,2010-12-01 16:15:00
536579,315.96000000000004,276,2,13777,2010-12-01 16:16:00
536580,97.19999999999999,66,6,17690,2010-12-01 16:17:00
536581,330.0,200,1,13777,2010-12-01 16:19:00
536582,304.04,184,17,12947,2010-12-01 16:21:00
536583,198.0,120,1,13777,2010-12-01 16:21:00
536584,1132.8000000000002,384,1,13777,2010-12-01 16:22:00
536585,19.9,2,1,17460,2010-12-01 16:24:00
536586,344.2,44,7,18229,2010-12-01 16:25:00
536587,311.81,313,22,14142,2010-12-01 16:33:00
536588,277.05,103,11,17069,2010-12-01 16:49:00
536590,205.86,74,14,13065,2010-12-01 16:52:00
536591,198.32,93,40,14606,2010-12-01 16:57:00
536593,81.75,19,5,16835,2010-12-01 17:15:00
536594,79.5,34,5,15235,2010-12-01 17:22:00
536595,349.15,108,11,13576,2010-12-01 17:24:00
536597,102.78999999999999,71,28,18011,2010-12-01 17:35:00
536598,160.6,76,4,13090,2010-12-02 07:48:00
536599,306.4,80,6,15694,2010-12-02 07:49:00
536600,251.62,56,12,17850,2010-12-02 08:32:00
536601,22.200000000000003,12,2,17850,2010-12-02 08:33:00
536602,163.76,64,12,17850,2010-12-02 08:34:00
536603,22.200000000000003,12,2,17850,2010-12-02 08:40:00
536604,184.5,114,9,14741,2010-12-02 08:43:00
536605,272.65000000000003,107,15,13715,2010-12-02 08:52:00
536607,303.97,93,18,17732,2010-12-02 09:29:00
536608,38.1,30,3,12855,2010-12-02 09:37:00
536609,244.46,88,16,17850,2010-12-02 09:41:00
536610,22.200000000000003,12,2,17850,2010-12-02 09:42:00
536611,259.65000000000003,153,14,15752,2010-12-02 09:43:00
536612,206.76,82,15,17850,2010-12-02 09:44:00
536613,208.97,197,17,17855,2010-12-02 09:44:00
536614,22.200000000000003,12,2,17850,2010-12-02 09:44:00
536615,286.92,108,12,14047,2010-12-02 10:09:00
536616,244.08,72,1,17925,2010-12-02 10:10:00
536617,1095.12,644,11,13941,2010-12-02 10:17:00
536618,780.12,600,21,17017,2010-12-02 10:17:00
536619,97.19999999999999,48,2,17017,2010-12-02 10:18:00
536620,485.25,741,23,14135,2010-12-02 10:27:00
536621,350.06,298,10,13108,2010-12-02 10:35:00
536623,768.38,666,48,15601,2010-12-02 10:39:00
536624,610.64,228,22,13418,2010-12-02 10:45:00
536626,12.600000000000001,6,1,13418,2010-12-02 10:46:00
536627,306.2,64,14,15658,2010-12-02 10:53:00
536628,230.56,86,16,17850,2010-12-02 10:54:00
536629,22.200000000000003,12,2,17850,2010-12-02 10:55:00
536630,244.46,88,16,17850,2010-12-02 10:56:00
536631,22.200000000000003,12,2,17850,2010-12-02 10:58:00
536632,312.8,170,21,14388,2010-12-02 11:02:00
536633,204.15,105,18,14901,2010-12-02 11:20:00
536634,193.78,159,14,18041,2010-12-02 11:21:00
536635,572.38,246,20,15955,2010-12-02 11:22:00
536636,106.2,36,1,15070,2010-12-02 11:23:00
536637,219.66,157,55,18041,2010-12-02 11:35:00
536638,1056.63,619,63,16244,2010-12-02 11:41:00
536639,288.5,106,16,15111,2010-12-02 11:45:00
536641,4.25,1,1,12748,2010-12-02 11:46:00
536643,223.7,74,26,14390,2010-12-02 11:57:00
536663,299.40000000000003,156,6,16546,2010-12-02 12:07:00
536667,362.5,214,16,15260,2010-12-02 12:09:00
536670,58.0,40,1,15260,2010-12-02 12:09:00
536671,136.2,132,5,13305,2010-12-02 12:10:00
536672,127.2,40,4,14491,2010-12-02 12:10:00
536673,339.84,504,8,14060,2010-12-02 12:11:00
536674,127.08,122,21,15923,2010-12-02 12:16:00
536676,207.5,54,9,16752,2010-12-02 12:18:00
536681,113.92,46,13,17287,2010-12-02 12:22:00
536685,380.46,108,17,17850,2010-12-02 12:23:00
536688,22.200000000000003,12,2,17850,2010-12-02 12:24:00
536690,331.26,92,17,17850,2010-12-02 12:25:00
536693,22.200000000000003,12,2,17850,2010-12-02 12:26:00
536698,326.0,144,16,15363,2010-12-02 12:28:00
536707,199.65,41,13,12915,2010-12-02 12:33:00
536732,354.54,274,26,15544,2010-12-02 12:47:00
536733,329.65000000000003,255,14,15738,2010-12-02 12:50:00
536735,211.2,128,1,17381,2010-12-02 12:58:00
536736,824.88,1296,5,17381,2010-12-02 12:59:00
536738,98.18,42,7,15827,2010-12-02 13:06:00
536739,201.75,31,12,14180,2010-12-02 13:08:00
536740,92.75,67,7,15827,2010-12-02 13:08:00
536741,202.12,130,15,13117,2010-12-02 13:11:00
536742,196.43,102,48,16916,2010-12-02 13:14:00
536743,261.76,195,35,17964,2010-12-02 13:32:00
536744,379.75,137,10,14466,2010-12-02 13:36:00
536745,341.9,126,10,17235,2010-12-02 13:38:00
536746,248.1,92,13,16510,2010-12-02 13:39:00
536747,100.2,75,12,17802,2010-12-02 13:44:00
536748,116.0,26,5,15107,2010-12-02 13:45:00
536749,321.79,93,56,17976,2010-12-02 13:49:00
536750,434.8,118,19,17850,2010-12-02 14:04:00
536751,22.200000000000003,12,2,17850,2010-12-02 14:05:00
536752,390.66,104,19,17850,2010-12-02 14:06:00
536753,22.200000000000003,12,2,17850,2010-12-02 14:07:00
536754,210.24,142,50,14449,2010-12-02 14:09:00
536759,311.25,113,17,16781,2010-12-02 14:26:00
536761,98.9,36,7,13491,2010-12-02 14:30:00
536762,307.68,231,20,16186,2010-12-02 14:40:00
536763,452.52,331,12,17685,2010-12-02 14:42:00
536769,668.4,375,31,17581,2010-12-02 14:47:00
536771,118.38,66,7,17581,2010-12-02 14:49:00
536777,138.1,97,5,15732,2010-12-02 15:00:00
536778,193.23,125,14,13138,2010-12-02 15:03:00
536779,15.0,1,1,15823,2010-12-02 15:08:00
536781,50.400000000000006,24,1,17460,2010-12-02 15:14:00
536782,517.95,244,27,17567,2010-12-02 15:18:00
536783,4076.48,2909,38,15061,2010-12-02 15:19:00
536784,2170.9,1330,25,15061,2010-12-02 15:20:00
536785,2730.96,1008,6,15061,2010-12-02 15:22:00
536786,324.0,144,2,15061,2010-12-02 15:23:00
536787,192.46,76,13,17850,2010-12-02 15:24:00
536788,75.0,60,1,15061,2010-12-02 15:25:00
536789,22.200000000000003,12,2,17850,2010-12-02 15:25:00
536790,532.01,141,17,17850,2010-12-02 15:26:00
536791,44.400000000000006,24,2,17850,2010-12-02 15:27:00
536792,30.0,24,1,15061,2010-12-02 15:28:00
536793,170.7,70,11,16203,2010-12-02 15:39:00
536794,322.8,96,4,13767,2010-12-02 15:40:00
536795,333.72,180,7,15640,2010-12-02 15:40:00
536796,349.04,159,96,15574,2010-12-02 15:46:00
536797,130.8,56,6,16770,2010-12-02 15:49:00
536798,684.46,454,29,17838,2010-12-02 15:55:00
536799,183.3,122,18,17228,2010-12-02 16:00:00
536800,236.97,190,19,14829,2010-12-02 16:12:00
536802,197.3,50,8,17412,2010-12-02 16:29:00
536803,22.5,6,1,14911,2010-12-02 16:33:00
536804,1714.25,531,25,14031,2010-12-02 16:34:00
536805,406.56,384,20,14775,2010-12-02 16:38:00
536806,45.12,84,5,12971,2010-12-02 16:42:00
536808,247.8,64,12,17659,2010-12-02 16:46:00
536809,1003.2,1824,1,15299,2010-12-02 16:48:00
536810,303.96,204,1,15299,2010-12-02 16:50:00
536811,527.85,69,1,15299,2010-12-02 16:51:00
536813,189.8,230,17,15646,2010-12-02 16:59:00
536819,308.28000000000003,190,17,13402,2010-12-02 17:12:00
536821,143.45000000000002,80,23,17757,2010-12-02 17:17:00
536823,50.550000000000004,13,3,13011,2010-12-02 17:22:00
536824,408.0,160,1,13798,2010-12-02 17:24:00
536830,2002.4,4280,2,16754,2010-12-02 17:38:00
536831,569.4,260,4,16029,2010-12-02 17:40:00
536832,164.8,64,8,16634,2010-12-02 17:41:00
536833,438.1,208,29,18239,2010-12-02 17:48:00
536834,35.400000000000006,12,1,14576,2010-12-02 17:51:00
536835,295.0,1,1,13145,2010-12-02 18:06:00
536836,263.3,133,26,18168,2010-12-02 18:08:00
536837,308.68,174,27,14395,2010-12-02 18:15:00
536838,37.2,96,3,14865,2010-12-02 18:23:00
536839,623.73,879,16,15093,2010-12-02 18:25:00
536840,155.35,148,11,12738,2010-12-02 18:27:00
536841,393.42,174,22,16150,2010-12-02 18:27:00
536842,263.62,130,11,17552,2010-12-02 18:45:00
536843,34.9,14,2,17552,2010-12-02 18:46:00
536844,189.3,38,3,14236,2010-12-02 18:49:00
536845,127.55,45,28,17961,2010-12-02 19:18:00
536846,402.0,126,68,14573,2010-12-02 19:59:00
536847,215.57999999999998,222,9,17135,2010-12-03 09:31:00
536848,534.0,280,3,13408,2010-12-03 09:39:00
536849,397.5,106,3,17396,2010-12-03 09:45:00
536851,1368.4,360,15,12967,2010-12-03 09:49:00
536852,89.14,107,7,12686,2010-12-03 09:51:00
536856,754.87,343,39,13370,2010-12-03 10:26:00
536857,128.03,54,17,16883,2010-12-03 10:33:00
536858,303.4,110,6,13520,2010-12-03 10:36:00
536859,294.25,186,24,12841,2010-12-03 10:43:00
536860,254.39999999999998,108,10,16905,2010-12-03 10:43:00
536861,303.5,79,10,12427,2010-12-03 10:44:00
536863,112.27,73,41,17967,2010-12-03 11:19:00
536874,217.26,86,63,16891,2010-12-03 11:35:00
536884,39.75,5,3,14589,2010-12-03 11:42:00
536890,322.2,1548,3,14156,2010-12-03 11:48:00
536938,1680.88,464,14,14680,2010-12-03 12:05:00
536943,187.51,170,28,17884,2010-12-03 12:11:00
536944,620.0,400,5,12557,2010-12-03 12:20:00
536945,294.01,152,62,14083,2010-12-03 12:24:00
536946,841.94,363,29,13013,2010-12-03 12:28:00
536947,686.4,439,38,13013,2010-12-03 12:29:00
536954,425.0,100,1,17809,2010-12-03 12:41:00
536956,304.95000000000005,93,15,14210,2010-12-03 12:43:00
536957,791.7,234,13,17809,2010-12-03 12:43:00
536960,225.65,125,14,16477,2010-12-03 12:48:00
536967,76.5,31,2,12600,2010-12-03 12:57:00
536968,534.0,168,2,16013,2010-12-03 13:09:00
536969,528.0,192,1,16013,2010-12-03 13:10:00
536970,1314.0,120,1,17949,2010-12-03 13:12:00
536971,248.16,140,8,12779,2010-12-03 13:40:00
536972,230.25,35,14,16926,2010-12-03 13:42:00
536973,736.28,356,30,17787,2010-12-03 13:43:00
536974,336.24,132,16,12682,2010-12-03 13:59:00
536975,1705.65,827,71,14911,2010-12-03 14:04:00
536976,149.8,76,19,14723,2010-12-03 14:18:00
536977,108.78,60,14,17954,2010-12-03 14:18:00
536980,591.47,239,12,17819,2010-12-03 14:26:00
536981,97.39,38,22,14723,2010-12-03 14:26:00
536983,175.53,60,9,12712,2010-12-03 14:30:00
536984,339.54,136,29,17841,2010-12-03 14:35:00
536985,334.3,42,11,15373,2010-12-03 14:40:00
536986,124.14,104,7,16140,2010-12-03 14:40:00
536987,272.01,124,52,17198,2010-12-03 14:54:00
536988,254.39000000000001,100,38,17238,2010-12-03 15:05:00
536989,115.7,26,22,17238,2010-12-03 15:10:00
536990,131.8,65,7,12793,2010-12-03 15:14:00
536992,91.8,36,1,15769,2010-12-03 15:16:00
536993,110.35000000000001,39,34,14396,2010-12-03 15:19:00
536994,98.5,18,3,14898,2010-12-03 15:25:00
537022,427.8,164,24,12725,2010-12-03 15:45:00
537023,122.15,64,25,16725,2010-12-03 16:02:00
537026,346.1,528,12,12395,2010-12-03 16:35:00
537030,246.3,142,13,16455,2010-12-03 16:44:00
537031,135.0,108,6,16455,2010-12-03 16:45:00
537034,2355.1800000000003,1338,73,13081,2010-12-03 17:20:00
537035,11.6,8,1,13081,2010-12-03 17:21:00
537036,135.32999999999998,75,31,15545,2010-12-03 17:28:00
537037,256.90000000000003,92,11,17243,2010-12-05 10:03:00
537038,535.75,125,7,15465,2010-12-05 10:12:00
537040,734.3999999999999,192,2,13089,2010-12-05 10:27:00
537041,155.64000000000001,52,26,16033,2010-12-05 10:36:00
537042,230.66,80,48,13838,2010-12-05 10:45:00
537044,431.45,93,19,18055,2010-12-05 10:52:00
537045,118.88,43,30,15038,2010-12-05 10:54:00
537046,277.45,55,14,18109,2010-12-05 10:58:00
537047,326.6,181,41,13069,2010-12-05 11:02:00
537048,5.9,2,2,13069,2010-12-05 11:03:00
537049,277.65000000000003,97,14,16241,2010-12-05 11:04:00
537050,555.84,437,51,14800,2010-12-05 11:10:00
537051,317.29,121,31,15708,2010-12-05 11:12:00
537052,552.24,232,5,16839,2010-12-05 11:15:00
537053,275.8,124,3,16168,2010-12-05 11:38:00
537054,152.05,82,40,16931,2010-12-05 11:40:00
537055,273.29,107,15,16814,2010-12-05 11:45:00
537057,274.67,129,49,15351,2010-12-05 11:49:00
537058,351.43,197,12,13269,2010-12-05 11:51:00
537059,125.43,58,20,14813,2010-12-05 11:54:00
537065,1526.92,611,63,12567,2010-12-05 11:57:00
537067,27.45,8,6,14813,2010-12-05 11:57:00
537077,179.64000000000001,163,26,17062,2010-12-05 11:59:00
537081,1145.06,442,25,15332,2010-12-05 12:00:00
537086,438.0,168,8,15332,2010-12-05 12:01:00
537090,15.0,12,1,15332,2010-12-05 12:02:00
537111,177.89,83,22,14810,2010-12-05 12:08:00
537117,204.0,48,1,16353,2010-12-05 12:09:00
537126,472.11,211,116,18118,2010-12-05 12:13:00
537127,408.0,160,2,13831,2010-12-05 12:13:00
537128,211.74,135,23,12841,2010-12-05 12:15:00
537129,301.12,232,17,13506,2010-12-05 12:15:00
537130,114.65,28,19,17796,2010-12-05 12:23:00
537131,529.4,429,35,15716,2010-12-05 12:26:00
537133,186.88,68,50,18156,2010-12-05 12:29:00
537134,163.49,107,9,16983,2010-12-05 12:34:00
537135,722.36,471,115,17059,2010-12-05 12:35:00
537136,267.46000000000004,147,34,12748,2010-12-05 12:42:00
537137,535.6,392,66,16327,2010-12-05 12:43:00
537138,273.3,204,33,17211,2010-12-05 12:44:00
537139,33.15,25,3,17026,2010-12-05 12:47:00
537140,65.57,51,33,12748,2010-12-05 12:53:00
537141,517.65,165,37,15570,2010-12-05 12:57:00
537142,41.45,16,15,12748,2010-12-05 12:57:00
537144,329.03000000000003,202,95,15880,2010-12-05 13:00:00
537153,606.0500000000001,407,41,16718,2010-12-05 13:03:00
537154,953.05,327,54,15808,2010-12-05 13:05:00
537155,73.72,63,30,12748,2010-12-05 13:05:00
537156,236.25,75,17,17858,2010-12-05 13:08:00
537158,184.8,86,10,16393,2010-12-05 13:10:00
537159,292.95,60,28,14527,2010-12-05 13:17:00
537160,283.15,128,26,14161,2010-12-05 13:18:00
537163,384.71999999999997,276,21,17863,2010-12-05 13:21:00
537176,128.55,69,19,16411,2010-12-05 13:26:00
537179,806.28,284,13,13767,2010-12-05 13:29:00
537192,205.65,102,53,16402,2010-12-05 13:42:00
537193,429.40000000000003,226,32,15023,2010-12-05 13:49:00
537194,271.2,80,1,17402,2010-12-05 13:53:00
537195,635.64,298,32,15311,2010-12-05 13:55:00
537196,382.57,149,74,15426,2010-12-05 13:55:00
537197,286.5,79,16,12647,2010-12-05 14:02:00
537198,85.5,11,2,12647,2010-12-05 14:03:00
537199,151.44,111,32,15894,2010-12-05 14:06:00
537200,111.65,46,28,15867,2010-12-05 14:17:00
537201,1631.3,972,70,12472,2010-12-05 14:19:00
537202,257.0,106,43,14506,2010-12-05 14:25:00
537204,198.43,293,32,15555,2010-12-05 14:45:00
537205,165.86,116,11,13034,2010-12-05 14:52:00
537206,85.55000000000001,25,4,15235,2010-12-05 15:02:00
537207,188.77,40,23,17402,2010-12-05 15:06:00
537208,272.07,141,57,15889,2010-12-05 15:12:00
537209,192.68,83,41,14606,2010-12-05 15:12:00
537210,207.74,100,15,15953,2010-12-05 15:15:00
537211,355.75,145,16,16143,2010-12-05 15:18:00
537212,473.39,299,30,12720,2010-12-05 15:21:00
537213,8.65,7,6,12748,2010-12-05 15:26:00
537214,1668.2,2048,13,16422,2010-12-05 15:35:00
537215,358.55999999999995,108,7,12747,2010-12-05 15:38:00
537216,569.5,240,18,15502,2010-12-05 15:40:00
537217,167.2,16,4,15502,2010-12-05 15:40:00
537218,320.08,196,16,12763,2010-12-05 15:46:00
537219,423.52,252,67,14081,2010-12-05 15:47:00
537221,37.35,14,7,17965,2010-12-05 15:54:00
537222,129.23,56,25,14404,2010-12-05 16:00:00
537223,164.70000000000002,46,9,13579,2010-12-05 16:10:00
537224,1369.06,674,122,13174,2010-12-05 16:24:00
537225,491.38,310,60,12748,2010-12-05 16:41:00
537226,113.48,86,9,15987,2010-12-06 08:34:00
537227,922.4000000000001,700,20,17677,2010-12-06 08:42:00
537228,25.200000000000003,12,1,17677,2010-12-06 08:43:00
537229,17.4,12,1,17677,2010-12-06 08:44:00
537231,308.8,112,18,13652,2010-12-06 09:21:00
537233,353.0,148,9,17428,2010-12-06 09:37:00
537235,2567.6400000000003,1464,5,17381,2010-12-06 09:45:00
537236,375.69000000000005,91,9,16858,2010-12-06 09:52:00
537238,164.2,88,15,16161,2010-12-06 10:03:00
537239,210.19,67,13,18219,2010-12-06 10:05:00
537241,364.92,172,15,14293,2010-12-06 10:18:00
537242,412.22,282,29,14748,2010-12-06 10:19:00
537243,50.400000000000006,24,2,16638,2010-12-06 10:19:00
537244,300.66,349,11,17674,2010-12-06 10:20:00
537245,58.2,48,3,14748,2010-12-06 10:24:00
537246,129.4,53,7,12808,2010-12-06 10:27:00
537247,223.68,192,3,13094,2010-12-06 10:34:00
537248,56.25,39,4,15899,2010-12-06 10:36:00
537249,33.0,20,1,16955,2010-12-06 10:38:00
537250,196.44,89,14,12708,2010-12-06 10:43:00
537254,377.64,207,55,15898,2010-12-06 11:01:00
537255,303.5,163,20,14443,2010-12-06 11:03:00
537256,2263.8,796,11,16210,2010-12-06 11:06:00
537257,142.5,58,9,17691,2010-12-06 11:10:00
537258,142.25,92,10,17227,2010-12-06 11:16:00
537262,585.41,256,54,15039,2010-12-06 11:26:00
537265,214.07999999999998,175,38,15919,2010-12-06 11:26:00
537298,153.5,54,9,13497,2010-12-06 11:37:00
537301,102.66,72,14,15860,2010-12-06 11:38:00
537312,311.24,254,9,14189,2010-12-06 11:42:00
537313,123.15,21,5,15304,2010-12-06 11:42:00
537332,322.8,120,12,14344,2010-12-06 11:58:00
537334,430.73,146,44,16719,2010-12-06 12:06:00
537335,98.7,32,23,15048,2010-12-06 12:15:00
537346,673.37,503,34,15301,2010-12-06 12:21:00
537350,419.06,350,12,14708,2010-12-06 12:23:00
537351,112.08,94,29,16898,2010-12-06 12:23:00
537354,133.07,85,38,12748,2010-12-06 12:23:00
537359,184.10000000000002,72,10,14825,2010-12-06 12:30:00
537360,76.32000000000001,72,1,18113,2010-12-06 12:31:00
537362,390.97,529,56,17596,2010-12-06 12:34:00
537365,449.95000000000005,201,21,15078,2010-12-06 12:38:00
537366,308.05,106,12,14085,2010-12-06 12:39:00
537367,25.200000000000003,12,1,15078,2010-12-06 12:39:00
537368,377.5,135,15,14911,2010-12-06 12:40:00
537369,226.45000000000002,93,49,17860,2010-12-06 12:41:00
537370,379.7,168,51,13155,2010-12-06 12:44:00
537371,185.97,119,14,15028,2010-12-06 12:47:00
537372,198.35,73,22,16919,2010-12-06 12:52:00
537374,367.95,256,74,17259,2010-12-06 12:55:00
537375,358.82,223,48,17019,2010-12-06 12:55:00
537376,480.68,278,16,16722,2010-12-06 12:59:00
537377,270.52,116,14,15882,2010-12-06 13:01:00
537378,784.15,476,20,14911,2010-12-06 13:06:00
537380,100.80000000000001,48,2,15882,2010-12-06 13:12:00
537381,511.56,372,24,14667,2010-12-06 13:13:00
537382,370.42,192,53,16710,2010-12-06 13:13:00
537384,122.7,56,5,15984,2010-12-06 13:21:00
537385,125.10000000000001,37,13,14487,2010-12-06 13:22:00
537386,20.85,3,1,14911,2010-12-06 13:32:00
537387,222.18,84,14,13468,2010-12-06 13:34:00
537388,391.5,210,18,17682,2010-12-06 13:35:00
537389,149.0,60,19,17757,2010-12-06 13:41:00
537390,123.24,40,8,16658,2010-12-06 13:47:00
537391,554.66,257,48,16550,2010-12-06 13:53:00
537392,166.15,80,24,17068,2010-12-06 13:58:00
537393,2415.04,972,34,13089,2010-12-06 13:59:00
537394,81.17999999999999,54,5,13089,2010-12-06 14:00:00
537395,143.12,75,49,15356,2010-12-06 14:05:00
537396,292.84000000000003,64,29,17223,2010-12-06 14:08:00
537397,244.20000000000002,164,10,16817,2010-12-06 14:19:00
537399,402.36,174,50,13030,2010-12-06 14:31:00
537400,422.81,261,49,17191,2010-12-06 14:36:00
537403,30.45,21,11,17191,2010-12-06 14:43:00
537404,56.85,38,11,17191,2010-12-06 14:46:00
537405,406.69,132,45,17841,2010-12-06 14:51:00
537407,192.7,34,6,15502,2010-12-06 14:55:00
537409,406.16,247,16,15194,2010-12-06 15:00:00
537410,151.20000000000002,72,1,14409,2010-12-06 15:03:00
537412,177.60000000000002,96,1,14409,2010-12-06 15:06:00
537415,227.4,63,9,16654,2010-12-06 15:09:00
537418,135.01,65,33,17884,2010-12-06 15:13:00
537419,510.95,209,14,13495,2010-12-06 15:14:00
537420,335.3,184,18,17519,2010-12-06 15:18:00
537421,287.54,129,48,17218,2010-12-06 15:25:00
537422,193.29999999999998,127,27,17812,2010-12-06 15:27:00
537423,166.0,104,6,14215,2010-12-06 15:34:00
537424,92.55000000000001,57,3,15602,2010-12-06 15:35:00
537428,450.92,210,22,17320,2010-12-06 15:38:00
537429,82.12,119,20,12748,2010-12-06 15:54:00
537433,417.62,146,4,12913,2010-12-06 16:36:00
537435,221.5,82,14,17920,2010-12-06 16:58:00
537440,214.32,67,16,17869,2010-12-06 17:16:00
537441,536.0500000000001,255,40,13564,2010-12-06 17:26:00
537446,569.03,201,28,18055,2010-12-07 09:13:00
537447,151.3,54,7,13963,2010-12-07 09:21:00
537448,39.599999999999994,6,1,17450,2010-12-07 09:23:00
537456,1989.2399999999998,780,2,17450,2010-12-07 09:43:00
