Segment,StockCode,Revenue,Quantity,Orders,Customers
Segment 0,20823,18.96,24,1,1
Segment 0,20828,407.99999999999994,160,26,26
Segment 0,20829,247.8,118,12,12
Segment 0,20830,12.600000000000001,6,1,1
Segment 0,20831,12.600000000000001,6,1,1
Segment 0,20832,27.22,58,4,4
Segment 0,20836,9.959999999999999,12,1,1
Segment 0,20837,55.32000000000001,36,3,3
Segment 0,20838,20.4,24,2,2
Segment 0,20839,49.3,58,6,6
Segment 0,20840,66.3,78,6,6
Segment 0,20846,240.0,192,14,8
Segment 0,20847,15.0,4,1,1
Segment 0,20854,33.0,20,1,1
Segment 0,20856,3.3,2,2,2
Segment 0,20866,60.0,48,3,3
Segment 0,20867,45.0,36,1,1
Segment 0,20869,24.180000000000003,62,1,1
Segment 0,20886,58.5,30,4,4
Segment 0,20893,302.40000000000003,144,2,2
Segment 0,20894,17.700000000000003,6,1,1
Segment 0,20897,183.14999999999998,69,4,4
Segment 0,20898,17.700000000000003,6,1,1
Segment 0,20902,25.4,4,2,2
Segment 0,20903,38.099999999999994,6,3,3
Segment 0,20914,2122.95,801,50,42
Segment 0,20931,219.3,70,7,6
Segment 0,20932,65.4,20,3,3
Segment 0,20934,54.5,10,5,5
Segment 0,20936,53.10000000000001,18,3,2
Segment 0,20941,21.25,17,2,2
Segment 0,20956,230.0,184,12,10
Segment 0,20961,267.5,214,9,7
Segment 0,20963,152.5,122,7,6
Segment 0,20967,270.0,72,11,9
Segment 0,20969,463.29,127,22,16
Segment 0,20970,529.65,147,21,16
Segment 0,20971,926.61,765,44,38
Segment 0,20972,1496.53,1241,63,55
Segment 0,20973,295.1,454,16,16
Segment 0,20974,350.35,539,24,21
Segment 0,20975,428.35,659,28,25
Segment 0,20977,181.25,145,10,10
Segment 0,20978,253.75,203,17,15
Segment 0,20979,381.25,305,22,20
Segment 0,20980,6.25,5,2,2
Segment 0,20981,265.2,312,23,21
Segment 0,20982,214.2,252,12,12
Segment 0,20983,294.09999999999997,346,16,14
Segment 0,20984,69.80999999999999,233,9,8
Segment 0,20985,58.75,47,6,6
Segment 0,20986,16.25,13,2,2
Segment 0,20992,271.81,599,18,16
Segment 0,20996,132.24,696,13,12
Segment 0,20998,17.700000000000003,6,1,1
Segment 0,21001,17.85,3,1,1
Segment 0,21003,38.099999999999994,6,1,1
Segment 0,21012,285.62,161,6,6
Segment 0,21014,38.88999999999999,109,5,5
Segment 0,21015,59.42999999999999,203,10,10
Segment 0,21025,1.25,1,1,1
Segment 0,21026,13.75,11,2,2
Segment 0,21027,3.75,3,1,1
Segment 0,21028,3.75,3,1,1
Segment 0,21030,5.0,4,2,2
Segment 0,21032,5.0,4,2,2
Segment 0,21033,43.68,21,3,3
Segment 0,21034,194.75,205,95,86
Segment 0,21035,302.4,96,12,12
Segment 0,21039,91.8,36,5,5
Segment 0,21041,106.20000000000002,36,5,5
Segment 0,21042,53.550000000000004,9,4,4
Segment 0,21043,175.5,90,8,8
Segment 0,21051,16.8,8,3,3
Segment 0,21054,223.74999999999997,25,3,3
Segment 0,21055,152.14999999999998,17,9,8
Segment 0,21056,496.99999999999994,60,10,8
Segment 0,21058,21.25,25,3,3
Segment 0,21059,12.75,15,4,4
Segment 0,21060,1.7,2,2,2
Segment 0,21061,0.85,1,1,1
Segment 0,21062,32.3,38,3,3
Segment 0,21063,11.049999999999999,13,2,2
Segment 0,21064,303.70000000000005,70,9,6
Segment 0,21065,65.7,30,3,3
Segment 0,21067,7.5,6,1,1
Segment 0,21068,520.2,480,22,7
Segment 0,21069,22.5,18,2,2
Segment 0,21070,140.4,126,3,3
Segment 0,21071,203.67000000000002,183,21,6
Segment 0,21078,375.66,486,17,17
Segment 0,21080,689.31,855,49,47
Segment 0,21084,51.11000000000001,269,11,11
Segment 0,21086,155.35000000000002,239,21,18
Segment 0,21088,25.080000000000002,132,9,9
Segment 0,21089,6.840000000000001,36,3,3
Segment 0,21090,81.89999999999999,210,13,13
Segment 0,21094,246.5,290,24,21
Segment 0,21096,22.23,57,6,6
Segment 0,21098,731.81,673,11,9
Segment 0,21100,16.5,10,1,1
Segment 0,21106,199.1,74,8,7
Segment 0,21107,202.8,72,9,8
Segment 0,21108,14139.300000000001,7273,32,31
Segment 0,21109,184.5,70,8,8
Segment 0,21110,154.35,57,8,8
Segment 0,21111,173.8,76,6,6
Segment 0,21112,1307.0,484,6,6
Segment 0,21114,181.25,145,14,14
Segment 0,21115,914.8000000000001,168,13,13
Segment 0,21116,789.4000000000001,164,25,13
Segment 0,21117,30.0,24,2,2
Segment 0,21121,537.5,430,23,23
Segment 0,21122,722.5,578,30,29
Segment 0,21123,95.0,76,5,5
Segment 0,21124,462.5,370,19,19
Segment 0,21125,91.25,73,7,6
Segment 0,21126,81.25,65,8,8
Segment 0,21128,69.5,10,2,2
Segment 0,21129,90.35000000000001,13,4,4
Segment 0,21131,4.25,1,1,1
Segment 0,21132,17.0,4,1,1
Segment 0,21135,400.53,237,22,20
Segment 0,21136,1297.92,768,56,53
Segment 0,21137,5580.84,1628,53,29
Segment 0,21143,46.8,24,2,2
Segment 0,21145,15.0,12,1,1
Segment 0,21154,145.0,116,11,11
Segment 0,21155,392.09999999999997,158,25,23
Segment 0,21156,457.65,247,22,21
Segment 0,21157,2.1,1,1,1
Segment 0,21158,19.349999999999998,17,3,3
Segment 0,21159,28.209999999999997,37,3,3
Segment 0,21161,4.35,3,2,2
Segment 0,21162,18.959999999999997,16,2,2
Segment 0,21163,26.759999999999998,36,2,2
Segment 0,21164,457.25000000000006,155,21,18
Segment 0,21165,263.64,156,15,13
Segment 0,21166,956.44,487,30,26
Segment 0,21167,76.86,366,6,5
Segment 0,21169,538.04,332,25,22
Segment 0,21171,21.749999999999996,15,3,3
Segment 0,21172,475.59999999999997,328,24,21
Segment 0,21174,665.99,321,29,25
Segment 0,21175,8775.75,4727,49,42
Segment 0,21179,67.44,120,6,6
Segment 0,21181,1743.6000000000001,876,54,47
Segment 0,21187,186.75,119,6,6
Segment 0,21188,106.20000000000002,36,3,3
Segment 0,21189,39.599999999999994,24,2,2
Segment 0,21191,303.72,154,10,9
Segment 0,21192,107.24999999999999,65,5,5
Segment 0,21194,31.200000000000003,48,3,2
Segment 0,21195,25.200000000000003,12,1,1
Segment 0,21197,19.799999999999997,12,1,1
Segment 0,21198,119.15999999999998,108,4,3
Segment 0,21199,19.799999999999997,12,1,1
Segment 0,21200,80.85,49,4,4
Segment 0,21201,153.0,60,6,6
Segment 0,21202,54.3,62,3,3
Segment 0,21204,143.54999999999998,87,7,7
Segment 0,21205,73.95,29,5,5
Segment 0,21206,109.05,101,4,4
Segment 0,21207,199.95,127,8,7
Segment 0,21208,72.53999999999999,186,10,9
Segment 0,21209,74.85,137,8,7
Segment 0,21210,662.3,470,29,25
Segment 0,21211,191.39999999999998,132,6,6
Segment 0,21212,3000.18,6942,75,66
Segment 0,21213,1996.3600000000001,4588,45,37
Segment 0,21215,55.0,100,5,4
Segment 0,21216,389.1,82,15,14
Segment 0,21217,368.15,37,19,17
Segment 0,21218,332.25,91,16,15
Segment 0,21220,12.5,10,1,1
Segment 0,21221,6.25,5,1,1
Segment 0,21222,12.5,10,1,1
Segment 0,21224,80.0,64,5,4
Segment 0,21226,6.25,5,1,1
Segment 0,21228,1.25,1,1,1
Segment 0,21231,951.5300000000001,805,43,41
Segment 0,21232,1663.13,1429,61,53
Segment 0,21238,335.44,424,26,23
Segment 0,21239,264.04,340,14,11
Segment 0,21240,233.17000000000002,289,19,17
Segment 0,21242,724.56,456,24,21
Segment 0,21243,562.3199999999999,360,16,12
Segment 0,21244,517.76,320,16,13
Segment 0,21245,141.96,84,9,8
Segment 0,21246,89.10000000000001,18,3,3
Segment 0,21248,18.849999999999998,13,2,2
Segment 0,21249,168.15000000000003,57,10,10
Segment 0,21250,103.6,40,2,2
Segment 0,21251,61.95000000000001,21,5,5
Segment 0,21253,41.300000000000004,14,2,2
Segment 0,21257,961.35,133,17,17
Segment 0,21258,1127.6999999999998,102,10,8
Segment 0,21259,790.5500000000001,149,24,20
Segment 0,21260,422.5,130,20,14
Segment 0,21261,59.00000000000001,20,4,4
Segment 0,21262,106.20000000000002,36,4,4
Segment 0,21263,46.8,24,2,2
Segment 0,21264,74.1,38,4,4
Segment 0,21265,46.8,24,2,2
Segment 0,21269,17.0,2,1,1
Segment 0,21270,38.25,3,3,3
Segment 0,21272,17.5,14,2,2
Segment 0,21277,65.85,3,3,3
Segment 0,21280,15.299999999999999,6,1,1
Segment 0,21284,20.28,12,1,1
Segment 0,21285,59.760000000000005,48,3,3
Segment 0,21287,97.08,228,5,4
Segment 0,21288,164.45000000000002,59,8,7
Segment 0,21289,20.0,16,1,1
Segment 0,21291,163.2,192,7,6
Segment 0,21292,40.8,48,3,3
Segment 0,21294,79.41999999999999,186,6,6
Segment 0,21306,27.839999999999996,96,3,3
Segment 0,21307,3.4799999999999995,12,1,1
Segment 0,21310,29.95,1,1,1
Segment 0,21311,9.059999999999999,25,2,2
Segment 0,21313,300.53,401,17,16
Segment 0,21314,981.9000000000001,479,46,44
Segment 0,21316,51.940000000000005,22,3,3
Segment 0,21317,32.7,6,2,2
Segment 0,21318,61.92,120,5,5
Segment 0,21319,63.66,46,3,3
Segment 0,21320,246.17000000000002,119,6,5
Segment 0,21324,53.10000000000001,18,3,3
Segment 0,21326,1761.7,3002,45,31
Segment 0,21327,56.099999999999994,34,6,6
Segment 0,21328,138.59999999999997,84,11,10
Segment 0,21329,64.35,39,5,5
Segment 0,21332,3.95,1,1,1
Segment 0,21340,1787.05,163,38,36
Segment 0,21348,285.59999999999997,112,1,1
Segment 0,21349,47.25,7,3,3
Segment 0,21351,6.75,1,1,1
Segment 0,21352,395.70000000000005,102,6,6
Segment 0,21354,112.5,90,6,6
Segment 0,21355,78.75,63,9,9
Segment 0,21356,60.0,48,4,4
Segment 0,21358,46.25,37,4,4
Segment 0,21359,79.15,17,3,3
Segment 0,21360,67.30000000000001,14,3,3
Segment 0,21361,153.0,12,5,5
Segment 0,21363,103.95,21,10,10
Segment 0,21364,20.25,3,3,3
Segment 0,21365,18.75,25,3,3
Segment 0,21366,17.0,4,2,2
Segment 0,21367,0.75,1,1,1
Segment 0,21368,0.75,1,1,1
Segment 0,21369,15.0,12,1,1
Segment 0,21371,9.75,13,2,2
Segment 0,21372,4.5,6,2,2
Segment 0,21373,48.0,64,4,4
Segment 0,21374,16.25,13,2,2
Segment 0,21376,10.9,2,1,1
Segment 0,21377,13.2,8,3,3
Segment 0,21378,37.949999999999996,23,5,5
Segment 0,21379,37.5,30,5,5
Segment 0,21380,725.6,272,16,15
Segment 0,21381,1087.01,725,14,13
Segment 0,21382,200.05,211,9,9
Segment 0,21383,39.0,60,6,5
Segment 0,21385,340.0,400,20,19
Segment 0,21386,49.379999999999995,114,7,7
Segment 0,21389,111.35,131,11,11
Segment 0,21390,340.0,272,13,13
Segment 0,21391,118.35,147,8,8
Segment 0,21392,12.600000000000001,6,1,1
Segment 0,21394,84.63,169,8,8
Segment 0,21395,76.05,195,6,6
Segment 0,21397,60.239999999999995,128,6,6
Segment 0,21398,96.3,168,7,7
Segment 0,21399,108.53999999999999,252,7,7
Segment 0,21400,25.919999999999998,216,8,7
Segment 0,21401,23.04,192,7,6
Segment 0,21402,23.759999999999998,198,5,5
Segment 0,21403,77.75999999999999,360,7,6
Segment 0,21407,162.0,40,9,9
Segment 0,21408,148.75,35,11,11
Segment 0,21411,405.4,156,19,19
Segment 0,21413,20.0,16,2,2
Segment 0,21415,27.300000000000004,13,3,3
Segment 0,21417,38.88,26,4,4
Segment 0,21418,30.599999999999998,12,2,2
Segment 0,21420,22.75,7,2,2
Segment 0,21421,75.0,60,1,1
Segment 0,21422,343.35999999999996,448,7,7
Segment 0,21424,35.400000000000006,12,1,1
Segment 0,21425,35.400000000000006,12,2,2
Segment 0,21427,33.6,16,3,3
Segment 0,21428,225.75,55,9,8
Segment 0,21429,316.34999999999997,177,14,13
Segment 0,21430,491.61,127,17,16
Segment 0,21439,468.73,437,4,4
Segment 0,21441,36.01,61,7,7
Segment 0,21442,24.11,47,5,5
Segment 0,21445,1.25,1,1,1
Segment 0,21447,38.75,31,4,4
Segment 0,21448,59.39999999999999,36,3,3
Segment 0,21452,203.55,69,11,11
Segment 0,21454,10.2,12,1,1
Segment 0,21455,21.25,25,5,5
Segment 0,21456,15.0,12,1,1
Segment 0,21458,15.0,12,1,1
Segment 0,21459,11.7,6,1,1
Segment 0,21462,74.25,11,5,5
Segment 0,21463,329.1,58,16,16
Segment 0,21464,89.25,21,7,7
Segment 0,21465,18.75,5,3,3
Segment 0,21466,45.0,12,6,6
Segment 0,21467,146.25,39,9,9
Segment 0,21468,11.25,3,2,2
Segment 0,21469,30.0,8,2,2
Segment 0,21470,123.75,33,10,10
Segment 0,21471,142.5,38,12,12
Segment 0,21472,71.25,19,8,8
Segment 0,21473,19.95,1,1,1
Segment 0,21476,29.9,2,1,1
Segment 0,21479,1174.3600000000001,308,31,30
Segment 0,21481,1108.3200000000002,352,37,36
Segment 0,21484,864.3,230,30,26
Segment 0,21485,1533.6000000000001,320,60,53
Segment 0,21494,67.5,54,5,5
Segment 0,21495,470.5,1225,16,15
Segment 0,21497,283.5,675,20,19
Segment 0,21498,592.5,1525,31,31
Segment 0,21499,294.0,700,23,23
Segment 0,21500,283.5,675,22,21
Segment 0,21503,21.0,50,2,2
Segment 0,21504,197.28,516,14,12
Segment 0,21506,80.64,192,16,16
Segment 0,21507,70.56,168,12,12
Segment 0,21508,45.36,108,8,7
Segment 0,21509,65.52,156,11,9
Segment 0,21519,65.52,156,12,11
Segment 0,21520,10.08,24,2,2
Segment 0,21523,1279.2,168,43,28
Segment 0,21524,1394.25,189,42,34
Segment 0,21527,154.95000000000002,21,5,5
Segment 0,21528,55.6,8,4,4
Segment 0,21530,73.79,77,8,8
Segment 0,21531,294.15,127,19,17
Segment 0,21533,436.65000000000003,95,23,21
Segment 0,21534,140.1,30,8,8
Segment 0,21535,270.29999999999995,106,18,17
Segment 0,21537,34.0,8,1,1
Segment 0,21539,314.4,72,7,7
Segment 0,21544,255.0,300,9,6
Segment 0,21547,35.400000000000006,12,2,2
Segment 0,21555,35.699999999999996,14,3,3
Segment 0,21556,33.15,13,3,3
Segment 0,21557,17.700000000000003,6,1,1
Segment 0,21558,277.95,109,13,13
Segment 0,21559,247.35,97,15,12
Segment 0,21561,76.5,30,5,5
Segment 0,21562,7.5,6,2,2
Segment 0,21563,153.40000000000003,52,10,10
Segment 0,21564,2.95,1,1,1
Segment 0,21576,63.0,28,5,5
Segment 0,21577,87.75,39,7,7
Segment 0,21578,94.5,42,7,7
Segment 0,21579,27.0,12,2,2
Segment 0,21581,54.0,24,3,3
Segment 0,21584,277.2,168,11,11
Segment 0,21586,99.44999999999999,39,4,4
Segment 0,21587,61.199999999999996,24,2,2
Segment 0,21588,262.65,103,13,12
Segment 0,21591,97.5,78,8,8
Segment 0,21592,209.36,184,15,15
Segment 0,21609,1231.4,476,11,7
Segment 0,21613,26.550000000000004,9,2,2
Segment 0,21614,8.850000000000001,3,1,1
Segment 0,21615,128.75,77,10,10
Segment 0,21616,193.75,143,14,13
Segment 0,21617,133.75,91,10,9
Segment 0,21618,33.75,17,3,3
Segment 0,21619,150.0,94,13,13
Segment 0,21620,95.0,68,9,9
Segment 0,21621,3936.5,494,49,45
Segment 0,21622,158.4,32,7,7
Segment 0,21623,577.0999999999999,58,15,15
Segment 0,21624,202.3,34,13,13
Segment 0,21625,62.550000000000004,9,6,6
Segment 0,21626,280.8,144,9,9
Segment 0,21627,119.6,8,4,4
Segment 0,21628,74.75,5,3,3
Segment 0,21629,79.5,10,3,3
Segment 0,21630,125.29999999999998,14,6,6
Segment 0,21631,178.5,14,4,4
Segment 0,21633,178.5,14,4,4
Segment 0,21634,28.08,72,2,2
Segment 0,21635,20.0,16,2,2
Segment 0,21636,106.05,127,9,7
Segment 0,21637,22.5,18,1,1
Segment 0,21638,88.20000000000002,42,4,3
Segment 0,21640,20.4,24,1,1
Segment 0,21641,157.17999999999998,542,2,2
Segment 0,21642,159.97,457,8,7
Segment 0,21643,52.5,42,5,5
Segment 0,21644,15.0,12,1,1
Segment 0,21647,10.5,5,4,4
Segment 0,21648,30.0,24,1,1
Segment 0,21650,61.75000000000001,325,7,6
Segment 0,21651,29.699999999999996,18,2,2
Segment 0,21654,75.67,175,7,6
Segment 0,21655,60.84,36,2,1
Segment 0,21656,34.8,24,4,4
Segment 0,21658,665.14,182,16,10
Segment 0,21661,5.95,1,1,1
Segment 0,21662,285.40000000000003,52,3,3
Segment 0,21664,177.72,52,2,2
Segment 0,21666,23.400000000000002,36,2,2
Segment 0,21668,210.7,158,15,14
Segment 0,21669,189.45,141,14,13
Segment 0,21670,289.5,222,16,16
Segment 0,21671,170.2,132,14,14
Segment 0,21672,212.9,162,13,13
Segment 0,21673,192.1,146,10,10
Segment 0,21675,10.2,12,1,1
Segment 0,21676,15.299999999999999,18,1,1
Segment 0,21677,86.69999999999999,102,8,7
Segment 0,21679,142.79999999999998,168,8,7
Segment 0,21680,40.8,48,4,4
Segment 0,21682,163.35,33,9,9
Segment 0,21683,247.8,84,6,3
Segment 0,21684,102.0,120,2,2
Segment 0,21686,279.65000000000003,7,4,1
Segment 0,21688,265.5,90,6,6
Segment 0,21689,97.5,26,5,5
Segment 0,21692,15.0,4,1,1
Segment 0,21693,295.00000000000006,100,12,10
Segment 0,21694,648.9,246,9,7
Segment 0,21695,177.00000000000003,60,6,6
Segment 0,21696,165.20000000000002,56,6,6
Segment 0,21698,9.36,24,1,1
Segment 0,21700,183.6,216,8,7
Segment 0,21703,1342.7400000000002,4253,37,26
Segment 0,21704,1305.37,1789,24,13
Segment 0,21705,43.47,63,4,4
Segment 0,21706,123.75,25,5,5
Segment 0,21707,123.75,25,9,9
Segment 0,21708,74.25,15,4,4
Segment 0,21709,64.35,13,4,4
Segment 0,21710,39.6,8,4,4
Segment 0,21711,19.8,4,1,1
Segment 0,21713,212.10000000000002,101,17,17
Segment 0,21714,167.5,134,13,13
Segment 0,21715,524.55,217,22,20
Segment 0,21716,637.65,267,23,21
Segment 0,21717,81.6,32,3,3
Segment 0,21718,421.25,337,22,19
Segment 0,21719,52.7,62,2,2
Segment 0,21723,20.4,24,2,2
Segment 0,21725,71.4,84,4,4
Segment 0,21726,30.599999999999998,36,2,2
Segment 0,21730,679.6,152,29,13
Segment 0,21731,1645.1999999999998,1032,46,38
Segment 0,21733,1673.45,615,52,47
Segment 0,21735,558.0,48,13,12
Segment 0,21736,57.42000000000001,42,3,3
Segment 0,21738,2.95,1,1,1
Segment 0,21739,50.150000000000006,17,5,5
Segment 0,21741,20.650000000000002,7,2,2
Segment 0,21742,160.65,27,13,12
Segment 0,21743,502.9,190,8,7
Segment 0,21744,5.9,2,1,1
Segment 0,21745,221.25,59,10,8
Segment 0,21746,876.51,807,16,14
Segment 0,21747,146.28,132,5,4
Segment 0,21749,263.70000000000005,137,12,12
Segment 0,21750,39.900000000000006,19,3,3
Segment 0,21754,1152.4,196,43,35
Segment 0,21755,1234.9,208,53,45
Segment 0,21756,276.70000000000005,46,16,15
Segment 0,21758,6.45,1,1,1
Segment 0,21763,20.0,1,1,1
Segment 0,21769,79.95,1,1,1
Segment 0,21770,514.8000000000001,104,43,40
Segment 0,21773,108.83,103,9,9
Segment 0,21774,30.24,72,1,1
Segment 0,21781,179.39999999999998,12,8,7
Segment 0,21784,19.9,2,1,1
Segment 0,21785,264.55,407,1,1
Segment 0,21786,40.32,96,4,4
Segment 0,21787,224.39999999999998,264,8,8
Segment 0,21788,40.8,48,2,2
Segment 0,21789,61.199999999999996,72,3,3
Segment 0,21790,2811.74,3950,106,86
Segment 0,21791,1252.64,1024,64,60
Segment 0,21792,130.35000000000002,33,4,4
Segment 0,21793,227.20000000000002,48,9,9
Segment 0,21794,99.25,23,6,6
Segment 0,21801,15.54,37,2,2
Segment 0,21802,71.82,171,6,6
Segment 0,21803,91.14,217,6,6
Segment 0,21804,217.5,58,6,5
Segment 0,21807,0.42,1,1,1
Segment 0,21808,45.0,12,1,1
Segment 0,21809,166.32,400,8,8
Segment 0,21810,172.38,442,9,8
Segment 0,21811,178.62,458,9,8
Segment 0,21812,29.700000000000003,6,3,3
Segment 0,21813,123.75,25,1,1
Segment 0,21817,48.36,124,4,4
Segment 0,21818,105.09,227,7,7
Segment 0,21819,39.85,101,4,4
Segment 0,21820,277.5,74,9,8
Segment 0,21821,165.0,44,8,8
Segment 0,21822,156.42000000000002,198,8,5
Segment 0,21823,120.35999999999999,276,9,9
Segment 0,21824,93.6,240,9,9
Segment 0,21826,16.25,13,3,3
Segment 0,21828,43.75,35,8,8
Segment 0,21829,160.04999999999998,793,11,10
Segment 0,21830,90.72,216,4,4
Segment 0,21832,46.199999999999996,28,3,3
Segment 0,21833,1155.72,708,20,14
Segment 0,21841,8.5,2,1,1
Segment 0,21843,1345.8,124,47,40
Segment 0,21844,259.2,96,8,8
Segment 0,21845,75.84,96,5,5
Segment 0,21846,14.850000000000001,3,1,1
Segment 0,21847,14.850000000000001,3,1,1
Segment 0,21850,153.0,36,1,1
Segment 0,21851,14.850000000000001,3,1,1
Segment 0,21864,226.80000000000004,108,9,9
Segment 0,21865,50.400000000000006,24,7,7
