StockCode,Description,TotalQuantity,TransactionCount,UniqueCustomers,TotalRevenue,AverageUnitPrice
16169P,WRAP GREEN RUSSIAN FOLKART,50,2,2,21.0,0.42
16202A,PASTEL PINK PHOTO ALBUM,7,2,2,3.5,0.5
16202B,PASTEL BLUE PHOTO ALBUM,29,2,2,14.5,0.5
16202E,BLACK PHOTO ALBUM,14,4,4,1.9500000000000002,1.7625
16206B,RED PURSE WITH PINK HEART,7,2,2,8.75,1.25
16207A,PINK STRAWBERRY HANDBAG,13,5,4,38.35000000000001,2.95
16207B,PINK HEART RED HANDBAG,4,3,3,11.31,2.7866666666666666
16216,LETTER SHAPE PENCIL SHARPENER,3316,41,38,227.14,0.09463414634146342
16218,CARTOON  PENCIL SHARPENERS,3760,50,43,253.2,0.0732
16219,HOUSE SHAPE PENCIL SHARPENER,2867,48,41,307.02,0.09020833333333333
16225,RATTLE SNAKE EGGS,760,75,57,596.84,1.1866666666666668
16235,RECYCLED PENCIL WITH RABBIT ERASER,2628,81,68,517.98,0.2139506172839506
16236,KITTY PENCIL ERASERS,1296,73,59,266.56,0.20931506849315068
16237,SLEEPING CAT ERASERS,4535,163,109,872.85,0.20610778443113772
16238,PARTY TIME PENCIL ERASERS,1259,78,61,265.09,0.2362820512820513
16244B,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,7,2,2,7.85,1.225
16248B,BLUE HOLE PUNCH,13,7,7,16.25,1.25
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,31,9,7,27.91,1.0233333333333332
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,444,39,29,156.10999999999999,0.45820512820512815
16259,PIECE OF CAMO STATIONERY SET,3272,32,28,317.92,0.09625
17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,72,1,1,20.88,0.29
17003,BROCADE RING PURSE,22924,209,136,5796.81,1.134644549763033
17007B,S/3 POT POURI CUSHIONS BLUE COLOURS,24,2,2,50.400000000000006,2.1
17011F,ORIGAMI SANDLEWOOD INCENSE+FLOWER,80,6,6,62.150000000000006,1.1333333333333335
17012A,ORIGAMI VANILLA INCENSE/CANDLE SET,270,24,21,244.89999999999998,1.1079999999999999
17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,455,36,33,422.54999999999995,1.0763888888888888
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET,362,43,37,341.79999999999995,1.1186046511627907
17012D,ORIGAMI ROSE INCENSE/CANDLE SET,385,44,35,362.95,1.0818181818181818
17012E,ORIGAMI OPIUM INCENSE/CANDLE SET,35,3,3,40.05,1.8666666666666665
17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,365,42,33,329.05,1.0035714285714286
17013D,ORIGAMI ROSE INCENSE IN TUBE,532,11,10,257.88,0.8672727272727272
17014A,ORIGAMI VANILLA INCENSE CONES,154,7,7,67.83,0.6071428571428571
17021,NAMASTE SWAGAT INCENSE,2391,47,30,632.34,0.29411764705882354
17028J,INCENSE BAZAAR PEACH,6,1,1,2.52,0.42
17038,PORCELAIN BUDAH INCENSE HOLDER,1501,19,18,138.1,0.09526315789473684
17084A,TRANQUILITY MASALA INCENSE,200,7,7,42.0,0.21
17084J,LOVE POTION MASALA INCENSE,225,8,8,47.25,0.21
17084N,FAIRY DREAMS INCENSE,1025,32,25,212.75,0.2084375
17084P,DRAGONS BLOOD INCENSE,349,13,12,73.29,0.21
17084R,ASSORTED INCENSE PACK,4032,27,16,760.3199999999999,0.20259259259259257
17090A,LAVENDER INCENSE 40 CONES IN TIN,109,10,9,107.44999999999999,1.17
17090D,VANILLA INCENSE 40 CONES IN TIN,29,12,6,36.25,1.25
17091A,LAVENDER INCENSE IN TIN,171,25,19,98.91,0.7976000000000001
17091J,VANILLA INCENSE IN TIN,2066,87,66,876.34,0.5476923076923077
17096,ASSORTED LAQUERED INCENSE HOLDERS,2516,13,12,443.76000000000005,0.20076923076923076
17107D,FLOWER FAIRY 5 DRAWER LINERS,59,20,18,150.45,2.55
17107D,FLOWER FAIRY 5 SUMMER DRAW LINERS,6,1,1,15.299999999999999,2.55
17107D,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",105,25,24,267.75,2.55
17109D,FLOWER FAIRY INCENSE BOUQUET,61,5,4,32.349999999999994,0.9039999999999999
17129F,BLUE GLASS GEMS IN BAG,425,20,11,289.55,0.844
17136A,BLUE STONES ON WIRE FOR CANDLE,352,17,16,29.59,0.10294117647058823
17164B,ASS COL SMALL SAND GECKO P'WEIGHT,27,9,9,11.34,0.42
17165D,ASS COL LARGE SAND FROG P'WEIGHT,27,7,6,28.35,1.05
17174,ASSTD RASTA KEY-CHAINS,9,3,3,3.7800000000000002,0.42
17191A,ROSE FLOWER CANDLE+INCENSE 16X16CM,4,2,1,15.0,3.75
18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,5856,17,15,383.76,0.16666666666666666
18094C,WHITE AND BLUE CERAMIC OIL BURNER,134,15,13,153.1,1.1966666666666665
18097A,PINK TALL PORCELAIN T-LIGHT HOLDER,5,4,4,12.75,2.55
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,377,54,43,889.35,2.494444444444444
18098C,PORCELAIN BUTTERFLY OIL BURNER,193,36,24,540.5500000000001,2.918421052631579
20615,BLUE POLKADOT PASSPORT COVER,231,35,28,233.34,1.4831428571428573
20616,CHERRY BLOSSOM PASSPORT COVER,134,25,19,122.78,1.3172
20617,FIRST CLASS PASSPORT COVER,66,26,20,137.74,2.224615384615385
20618,QUEEN OF THE SKIES PASSPORT COVER,68,28,20,137.88000000000002,2.0707142857142857
20619,TROPICAL PASSPORT COVER,142,22,16,206.23000000000002,2.309090909090909
20622,VIP PASSPORT COVER,35,11,8,73.5,2.1
20622,VIPPASSPORT COVER,127,21,18,164.58,1.9323809523809523
20652,BLUE POLKADOT LUGGAGE TAG,147,33,26,191.01,1.4333333333333333
20653,CHERRY BLOSSOM LUGGAGE TAG,33,6,5,43.67,1.6533333333333333
20654,FIRST CLASS LUGGAGE TAG,105,23,21,126.69,1.2341666666666666
20655,QUEEN OF SKIES LUGGAGE TAG,89,34,20,109.11,1.31
20657,TROPICAL LUGGAGE TAG,61,22,20,76.39,1.3513636363636363
20658,RED RETROSPOT LUGGAGE TAG,327,59,44,408.75,1.25
20659,ECONOMY LUGGAGE TAG,94,29,18,139.56,1.5499999999999998
20661,BLUE POLKADOT PURSE,9,5,3,35.07,4.654
20662,FIRST CLASS HOLIDAY PURSE,11,5,4,40.97,4.086
20663,QUEEN OF THE SKIES HOLIDAY PURSE,3,3,3,11.690000000000001,3.896666666666667
20664,TROPICAL HOLIDAY PURSE,6,3,3,17.700000000000003,2.9500000000000006
20665,RED RETROSPOT PURSE,340,73,58,998.2000000000002,2.944520547945206
20666,ECONOMY HOLIDAY PURSE,4,4,4,11.8,2.95
20667,CHERRY BLOSSOM PURSE,1,1,1,2.95,2.95
20668,DISCO BALL CHRISTMAS DECORATION,12618,181,111,1397.04,0.11847826086956523
20669,RED HEART LUGGAGE TAG,195,42,36,243.75,1.25
20670,VIP HOLIDAY PURSE,8,6,5,29.28,3.896666666666667
20671,BLUE TEATIME PRINT BOWL,10,2,2,12.5,1.25
20674,GREEN POLKADOT BOWL,1354,150,101,1625.31,1.2517218543046358
20675,BLUE POLKADOT BOWL,2716,225,150,3163.65,1.2419383259911896
20676,RED RETROSPOT BOWL,4288,301,186,4953.2300000000005,1.243774834437086
20677,PINK POLKADOT BOWL,3152,221,133,3633.8300000000004,1.2583856502242152
20678,LARGE BLACK DIAMANTE HAIRSLIDE,4,1,1,6.6,1.65
20679,EDWARDIAN PARASOL RED,1621,273,142,9002.32,5.920693430656934
20681,PINK POLKADOT CHILDRENS UMBRELLA,123,35,30,399.75,3.25
20682,RED RETROSPOT CHILDRENS UMBRELLA,1120,188,140,3564.66,3.3109523809523806
20684,STRAWBERRY DREAM CHILDS UMBRELLA,77,32,30,250.25,3.25
20685,DOORMAT RED RETROSPOT,3831,583,329,24903.63,7.749760273972602
20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,252,64,51,822.38,3.3028125
20694,FLORAL PINK MONSTER,36,10,9,135.0,3.75
20695,FLORAL BLUE MONSTER,5,4,4,21.25,4.25
20696,FLORAL SOFT CAR TOY,32,10,10,120.0,3.75
20697,LITTLE GREEN MONSTER SOFT TOY,17,9,8,43.349999999999994,2.55
20698,LITTLE PINK MONSTER SOFT TOY,16,7,7,40.8,2.55
20699,MOUSEY LONG LEGS SOFT TOY,29,11,11,73.94999999999999,2.55
20700,GREEN CAT FLORAL CUSHION COVER,10,4,4,37.5,3.75
20701,PINK CAT FLORAL CUSHION COVER,6,3,3,22.5,3.75
20702,PINK PADDED MOBILE,127,40,31,539.75,4.25
20703,BLUE PADDED SOFT MOBILE,-6,4,3,-25.5,4.25
20704,MR ROBOT SOFT TOY,207,40,38,598.65,4.825
20705,MRS ROBOT SOFT TOY,142,29,27,426.9,4.708620689655173
20707,CRAZY DAISY HEART DECORATION,154,32,20,194.27,1.5346875
20711,JUMBO BAG TOYS,4176,252,152,7648.97,2.0079133858267717
20712,JUMBO BAG WOODLAND ANIMALS,7947,501,248,15085.14,2.0346442687747035
20713,JUMBO BAG OWLS,10208,417,207,18615.59,2.0167298578199055
20716,PARTY FOOD SHOPPER BAG,314,34,31,373.5,1.2445714285714287
20717,STRAWBERRY SHOPPER BAG,2024,232,150,2440.88,1.2759322033898306
20718,RED RETROSPOT SHOPPER BAG,4233,388,237,5077.32,1.2648593350383632
20719,WOODLAND CHARLOTTE BAG,9107,539,238,7174.54,0.8447619047619048
20723,STRAWBERRY CHARLOTTE BAG,6767,504,232,5453.99,0.8589566929133857
20724,RED RETROSPOT CHARLOTTE BAG,12582,755,335,9952.14,0.8482984293193717
20725,LUNCH BAG RED RETROSPOT,17024,1329,532,27050.4,1.6571375464684015
20725,LUNCH BAG RED SPOTTY,200,1,1,290.0,1.45
20726,LUNCH BAG WOODLAND,9009,839,373,14362.61,1.658705882352941
20727,LUNCH BAG  BLACK SKULL.,11128,1073,458,17764.6,1.6429026387625114
20728,LUNCH BAG CARS BLUE,10575,989,481,16887.03,1.656
20731,POSY CANDY BAG,74,8,8,92.5,1.25
20733,GOLD MINI TAPE MEASURE,616,47,30,471.2,0.83625
20735,BLACK MINI TAPE MEASURE,158,30,11,121.3,0.8456666666666667
20748,KENSINGTON COFFEE SET,53,30,26,675.75,12.75
20749,ASSORTED COLOUR MINI CASES,1709,371,239,12043.91,7.792688172043011
20750,RED RETROSPOT MINI CASES,1705,369,235,12161.15,7.7510810810810815
20751,FUNKY WASHING UP GLOVES ASSORTED,940,172,127,1914.96,2.095367231638418
20752,BLUE POLKADOT WASHING UP GLOVES,358,117,92,751.8000000000001,2.1
20754,RETROSPOT RED WASHING UP GLOVES,1354,240,153,2666.28,2.0898765432098765
20755,BLUE PAISLEY POCKET BOOK,291,50,44,247.35,0.85
20756,GREEN FERN POCKET BOOK,63,22,20,53.55,0.85
20757,RED DAISY POCKET BOOK,155,30,30,132.53,0.8751612903225806
20758,ABSTRACT CIRCLES POCKET BOOK,158,41,35,134.29999999999998,0.85
20759,CHRYSANTHEMUM POCKET BOOK,64,20,17,54.4,0.85
20760,GARDEN PATH POCKET BOOK,69,21,18,58.65,0.85
20761,BLUE PAISLEY SKETCHBOOK,107,52,46,408.67,3.821346153846154
20762,GREEN FERN SKETCHBOOK,101,51,42,382.46,3.8227450980392157
20763,DAISY SKETCHBOOK,71,25,24,189.96,3.6984
20764,ABSTRACT CIRCLES SKETCHBOOK,126,60,45,483.63,3.9324590163934428
20765,CHRYSANTHEMUM SKETCHBOOK,94,51,45,367.34,3.968235294117647
20766,GARDEN PATH SKETCHBOOK,111,47,41,414.58,3.887916666666667
20767,BLUE PAISLEY JOURNAL,214,58,50,534.3199999999999,2.625344827586207
20768,GREEN FERN JOURNAL,130,36,31,317.71,2.6044444444444443
20769,DAISY JOURNAL,66,26,21,173.11999999999998,2.6426923076923075
20770,ABSTRACT CIRCLE JOURNAL,107,28,24,256.65,2.533928571428571
20771,CHRYSANTHEMUM  JOURNAL,70,27,21,180.91,2.639259259259259
20772,GARDEN PATH JOURNAL,217,47,40,531.91,2.591702127659574
20773,BLUE PAISLEY NOTEBOOK,56,23,21,92.39999999999999,1.6499999999999997
20774,GREEN FERN NOTEBOOK,52,22,21,85.8,1.65
20775,DAISY NOTEBOOK,63,20,19,103.94999999999999,1.65
20777,CHRYSANTHEMUM NOTEBOOK,95,36,32,156.75,1.65
20778,GARDEN PATH NOTEBOOK,15,8,8,24.75,1.65
20780,BLACK EAR MUFF HEADPHONES,36,17,13,192.86,5.737777777777778
20781,GOLD EAR MUFF HEADPHONES,28,21,19,146.64000000000001,5.152857142857143
20782,CAMOUFLAGE EAR MUFF HEADPHONES,39,17,12,215.87,5.593529411764706
20785,FUSCHIA RETRO BAR STOOL,14,5,4,523.3000000000001,39.15
20793,BLUE TILED TRAY,3,5,4,20.25,6.75
20794,BLUE  TILE HOOK,76,17,15,190.2,2.525
20795,LARGE BLUE PROVENCAL CERAMIC BALL,38,10,6,79.80000000000001,2.1
20796,SMALL BLUE PROVENCAL CERAMIC BALL,61,8,8,100.64999999999999,1.65
20798,CLEAR MILKSHAKE GLASS,32,6,6,69.00000000000001,2.025
20801,LARGE PINK GLASS SUNDAE DISH,816,56,47,684.16,0.9338596491228071
20802,SMALL GLASS SUNDAE DISH CLEAR,609,46,40,710.3699999999999,1.4497826086956522
20803,SMALL PINK GLASS SUNDAE DISH,843,33,26,355.35,0.5136363636363637
20816,GOLD FLOWER CUSHION COVER,8,2,1,15.6,1.95
20818,GOLD TEDDY BEAR,12,2,2,20.0,2.5
20819,SILVER TEDDY BEAR,48,16,14,183.71,3.981875
20820,SILVER LOOKING MIRROR,5,2,2,24.75,4.95
20821,GOLDIE LOOKING MIRROR,4,7,5,19.8,4.95
20823,GOLD WINE GOBLET,160,7,6,126.4,0.79
20826,SILVER APERITIF GLASS,276,8,7,128.4,0.8225
20827,GOLD APERITIF GLASS,88,2,1,34.32,0.39
20828,GLITTER BUTTERFLY CLIPS,1010,177,116,2489.1,2.5402173913043478
20829,GLITTER HANGING BUTTERFLY STRING,1144,169,90,2323.13,2.146551724137931
20830,SILVER PHOTO FRAME,74,21,20,155.4,2.1
20831,GOLD PHOTO FRAME,169,24,19,272.34000000000003,1.8645833333333333
20832,RED FLOCK LOVE HEART PHOTO FRAME,1009,56,47,516.8299999999999,0.5826315789473684
20835,FRENCH LATTICE CUSHION COVER,66,7,7,54.779999999999994,0.83
20836,FRENCH PAISLEY CUSHION COVER,158,18,14,131.14,0.83
20837,FRENCH FLORAL CUSHION COVER,141,15,14,142.47,0.9713333333333334
20838,FRENCH LATTICE CUSHION COVER,318,34,30,272.74,0.9217647058823529
20839,FRENCH PAISLEY CUSHION COVER,452,49,44,411.84,0.9855102040816326
20840,FRENCH FLORAL CUSHION COVER,452,44,35,389.08,0.9584444444444443
20845,ZINC HEART LATTICE 2 WALL PLANTER,19,11,7,120.64999999999999,6.35
20846,ZINC HEART LATTICE T-LIGHT HOLDER,646,62,50,784.22,1.2601587301587303
20847,ZINC HEART LATTICE CHARGER LARGE,46,14,12,172.5,3.75
20848,ZINC HEART LATTICE CHARGER SMALL,21,8,7,61.95,2.95
20851,ZINC HEART LATTICE TRAY OVAL,9,7,5,53.550000000000004,5.95
20854,BLUE PATCH PURSE PINK HEART,150,18,16,229.69999999999996,1.6388888888888888
20856,DENIM PATCH PURSE PINK BUTTERFLY,130,28,26,214.5,1.65
20857,BLUE ROSE PATCH PURSE PINK BUTTERFL,17,9,7,28.049999999999997,1.65
20861,GOLD COSMETIC BAG PINK STAR,2,2,2,4.2,2.1
20866,BLUE ROSE FABRIC MIRROR,288,38,34,360.14,1.2986842105263159
20867,PINK ROSE FABRIC MIRROR,187,25,23,231.47,1.2424
20868,SILVER FABRIC MIRROR,381,31,29,159.26000000000002,0.567741935483871
20869,GOLD FABRIC MIRROR,139,17,17,54.21000000000001,0.39
20878,SET/9 CHRISTMAS T-LIGHTS SCENTED,24,7,7,30.0,1.25
20886,BOX OF 9 PEBBLE CANDLES,446,78,56,839.6999999999999,1.9462025316455696
20892,SET/3 TALL GLASS CANDLE HOLDER PINK,1,1,1,12.75,12.75
20893,HANGING BAUBLE T-LIGHT HOLDER SMALL,222,20,16,490.95,2.46
20894,HANGING BAUBLE T-LIGHT HOLDER LARGE,25,9,9,73.75,2.95
20897,VINTAGE NOTEBOOK PARIS DAYS,73,10,9,194.95,2.91
20898,VINTAGE NOTEBOOK TRAVELOGUE,19,5,4,56.050000000000004,2.9500000000000006
20901,VINTAGE KEEPSAKE BOX PINK FLOWER,1,3,2,6.35,6.349999999999999
20902,VINTAGE KEEPSAKE BOX PARIS DAYS,33,6,6,190.35,6.216666666666666
20903,VINTAGE KEEPSAKE BOX TRAVELOGUE,20,10,10,127.0,6.35
20906,VINTAGE NOTEBOOK BEAUTY GIRL,3,2,2,8.850000000000001,2.95
20910,VINTAGE PHOTO ALBUM PARIS DAYS,8,3,2,50.8,6.349999999999999
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,5764,797,360,16236.28,2.950446096654275
20914,SET/5 RED SPOTTY LID GLASS BOWLS,288,1,1,734.4,2.55
20931,BLUE POT PLANT CANDLE,249,39,35,753.1500000000001,3.1064102564102565
20932,PINK POT PLANT CANDLE,179,24,22,486.75000000000006,3.004166666666667
20933,YELLOW POT PLANT CANDLE,23,9,9,71.05,3.127777777777778
20934,SET/3 POT PLANT CANDLES,40,24,22,219.0,5.429166666666667
20935,ROUND CACTUS CANDLE,6,4,4,17.700000000000003,2.95
20936,FORKED CACTUS CANDLE,91,27,21,270.03000000000003,3.0825925925925928
20941,FROG CANDLE,59,18,14,73.75,1.25
20956,PORCELAIN T-LIGHT HOLDERS ASSORTED,723,61,51,907.38,1.2890322580645162
20957,PORCELAIN HANGING BELL SMALL,-1,1,1,-1.45,1.45
20961,STRAWBERRY BATH SPONGE,976,128,82,1239.36,1.3156589147286821
20963,APPLE BATH SPONGE,1100,122,83,1397.99,1.32744
20964,POLYESTER FILLER PAD 60x40cm,2,1,1,5.1,2.55
20966,SANDWICH BATH SPONGE,589,41,28,698.25,1.2453658536585366
20967,GREY FLORAL FELTCRAFT SHOULDER BAG,256,75,63,960.0,3.75
20969,RED FLORAL FELTCRAFT SHOULDER BAG,1729,259,157,6234.900000000001,3.817876447876448
20970,PINK FLORAL FELTCRAFT SHOULDER BAG,1077,232,141,3968.63,3.7807725321888412
20971,PINK BLUE FELT CRAFT TRINKET BOX,8896,461,277,10214.38,1.269225806451613
20972,PINK CREAM FELT CRAFT TRINKET BOX,7082,537,312,8587.24,1.2747697974217311
20973,12 PENCIL SMALL TUBE WOODLAND,3994,278,192,2542.7000000000003,0.665625
20974,12 PENCILS SMALL TUBE SKULL,6161,294,195,3862.65,0.6483443708609272
20975,12 PENCILS SMALL TUBE RED RETROSPOT,6273,311,231,4018.6500000000005,0.6490476190476191
20977,36 PENCILS TUBE WOODLAND,1520,146,111,1875.68,1.2487074829931972
20978,36 PENCILS TUBE SKULLS,1611,180,133,1989.43,1.2489617486338798
20979,36 PENCILS TUBE RED RETROSPOT,3358,246,165,4027.26,1.2445934959349594
20980,36 PENCILS TUBE POSY,18,12,11,22.5,1.25
20981,12 PENCILS TALL TUBE WOODLAND,1830,212,157,1555.5,0.8499999999999999
20982,12 PENCILS TALL TUBE SKULLS,2010,218,158,1702.26,0.8494117647058823
20983,12 PENCILS TALL TUBE RED RETROSPOT,2636,237,185,2234.3599999999997,0.8494715447154472
20984,12 PENCILS TALL TUBE POSY,3758,168,135,1154.2199999999998,0.3640229885057471
20985,HEART CALCULATOR,997,90,66,1136.45,1.2762105263157895
20986,BLUE CALCULATOR RULER,459,58,40,543.01,1.3231147540983605
20992,JAZZ HEARTS PURSE NOTEBOOK,4339,244,162,1845.87,0.45910852713178296
20996,JAZZ HEARTS ADDRESS BOOK,3054,184,124,648.12,0.2532972972972973
20997,ROSE DU SUD CUSHION COVER,15,5,4,74.25,4.95
20998,ROSE DU SUD OVEN GLOVE,119,28,27,348.25000000000006,2.935714285714286
21000,ROSE DU SUD COSMETICS BAG,45,16,16,191.25,4.25
21001,ROSE DU SUD WASHBAG,24,12,12,142.8,5.95
21002,ROSE DU SUD DRAWSTRING BAG,13,5,5,55.25,4.25
21003,ROSE DU SUD CUSHION COVER,13,6,6,82.55,6.349999999999999
21011,GLITTER SNOW PEAR TREE DECORATION,18,2,2,26.099999999999998,1.45
21012,ANTIQUE ALL GLASS CANDLESTICK,562,81,66,1122.8,2.085180722891566
21014,SWISS CHALET TREE DECORATION,1233,66,64,455.56999999999994,0.41
21015,DARK BIRD HOUSE TREE DECORATION,1245,67,59,376.16999999999996,0.3229411764705882
21018,BIRD BOX CHRISTMAS TREE DECORATION,22,4,4,18.7,0.85
21025,SPACE FROG,100,16,14,127.25,1.465
21026,SPACE OWL,140,22,20,173.62,1.3513636363636363
21027,NINJA RABBIT PINK,99,17,16,119.95,1.2394444444444443
21028,NINJA RABBIT BLACK,116,21,15,148.29,1.52
21030,SPACE CADET RED,111,21,19,141.17,1.305
21031,SPACE CADET BLACK,39,10,9,49.96,1.371
21032,SPACE CADET WHITE,64,15,13,83.63,1.492
21033,JUMBO BAG CHARLIE AND LOLA TOYS,920,109,75,1930.88,2.3156880733944956
21034,REX CASH+CARRY JUMBO SHOPPER,1811,862,480,1720.4499999999998,0.95
21035,SET/2 RED RETROSPOT TEA TOWELS,2115,221,151,6257.01,3.2860538116591926
21038,SET/4 MODERN VINTAGE COTTON NAPKINS,75,24,20,80.85000000000001,1.24
21039,RED RETROSPOT SHOPPING BAG,498,79,57,1254.06,2.7083544303797464
21040,MODERN VINTAGE COTTON SHOPPING BAG,22,8,8,29.7,1.67
21041,RED RETROSPOT OVEN GLOVE DOUBLE,566,141,100,1669.7000000000003,2.95
21042,RED RETROSPOT APRON,296,110,72,1762.5,5.938495575221239
21043,APRON MODERN VINTAGE COTTON,441,57,52,927.9499999999999,2.300877192982456
21051,RIBBONS PURSE,108,24,23,228.83,2.1845833333333333
21054,NURSE'S BAG SOFT TOY,68,27,24,608.5999999999999,8.95
21055,TOOL BOX SOFT TOY,138,83,63,1296.54,9.505180722891566
21056,DOCTOR'S BAG SOFT TOY,172,68,46,1622.28,9.725882352941175
21058,PARTY INVITES WOODLAND,1034,88,68,843.02,0.8644444444444445
21059,PARTY INVITES DINOSAURS,561,78,67,476.84999999999997,0.85
21060,PARTY INVITES BALLOON GIRL,356,53,47,302.59999999999997,0.85
21061,PARTY INVITES FOOTBALL,412,52,49,350.2,0.8499999999999999
21062,PARTY INVITES SPACEMAN,500,61,55,425.0,0.85
21063,PARTY INVITES JAZZ HEARTS,483,81,64,412.10999999999996,0.8692592592592592
21064,BOOM BOX SPEAKER BOYS,171,54,40,740.15,5.026785714285714
21065,BOOM BOX SPEAKER GIRLS,485,40,31,827.15,4.271428571428571
21066,VINTAGE RED MUG,675,42,33,641.37,1.2347619047619047
21067,VINTAGE RED TEATIME MUG,174,44,30,217.5,1.2415555555555555
21068,VINTAGE BILLBOARD LOVE/HATE MUG,1493,128,81,1592.05,1.2170542635658914
21069,VINTAGE BILLBOARD TEA MUG,1166,52,35,1304.7400000000002,1.231730769230769
